Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,2 Nos. of bidders have participated.,Biswambhar Mishra,21-Jun-2024 01:30 PM,,BOQ Comparative Chart,Municipal Bodies||Balangir Municipality,2024_ORULB_102384_21,BLGRMPTY/14(01-133)/2023-24,"Construction of Road from Basanti Suna Res. to Daya Mohanty Res. Adarsha Pada,W.No.5",1.0,2483031.0,SAROJ KUMAR BHOI,INR,"751,171.81",1,2484230,BASANTA TRIPATHY,21-Mar-2024 04:23 PM,Rejected-Finance,other then L1 Bidder,17-Sep-2024 07:01 PM,23-Jun-2025,"INR 751,171.81",90.0,Biswambhar Mishra,23-Jun-2025 08:34 PM,21wo.pdf (525.00 KB),"Construction of Road from Basanti Suna Res. to Daya Mohanty Res. Adarsha Pada,W.No.5","Smt.Lika Sahu,Chairperson,Balangir Municipality",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Biswambhar Mishra,29-Jul-2024 05:31 PM,techsummary_498927.pdf (565.34 KB),"Smt.Lika Sahu,Chairperson,Balangir Municipality",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Biswambhar Mishra,17-Sep-2024 07:02 PM,finsummary_498927.pdf (185.07 KB),AOC,Municipal Bodies||Balangir Municipality,BLGRMPTY/14(01-133)/2023-24,2024_ORULB_102384_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir","4,000",0.0,Nil,Nil,No,"9,000",Yes,percentage,1.0%,Nil,Nil,11-Mar-2024 11:00 AM,22-Mar-2024 11:00 AM,11-Mar-2024 11:00 AM,21-Mar-2024 05:00 PM,NA ,NA ,11-Mar-2024 11:00 AM,21-Mar-2024 05:00 PM,1,ICICI BANK,"Construction of Road from Basanti Suna Res. to Daya Mohanty Res. Adarsha Pada,W.No.5",Road work,Please refer Tender Documents  ,NA ,"9,00,000",Civil Works - Roads,NA ,Tender,180.0,90.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,AOC
,,,,,,,,,,,,,,,2,2483031,SAROJ KUMAR BHOI,21-Mar-2024 12:12 AM,Accepted-AOC,L1,23-Jun-2025 08:34 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
