Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",0.0,Nil,Nil,No,Construction of C.C approach road from F.S.T.P site road to towards Additional MCC and MRFC site at Naraharipur in W.N 08 under Remuna NAC,Road,As per DTCN ,NA ,"35,85,167",Civil Works - Others,NA ,Tender,90.0,120.0,Naraharipur,756019.0,NA ,NA ,NA ,Office of the Remuna NAC,No ,No,1.0,ICICI BANK,"35,852",Yes,fixed,,Nil,Nil,11-Mar-2025 10:00 AM,26-Mar-2025 11:00 AM,11-Mar-2025 10:00 AM,25-Mar-2025 05:00 PM,NA ,NA ,11-Mar-2025 10:00 AM,25-Mar-2025 05:00 PM,25-Apr-2025 10:00 AM,"Executive Officer ,Remuna NAC","Ganeswarpur,Remuna NAC",Municipal Bodies||Remuna NAC,RN_06_2024-25,2025_ORULB_111499_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EMD,Registration certificate and All required documents as per DTCN",AOC,1,2864736,AMALENDU NAYAK,24-Mar-2025 11:27 PM,Rejected-Finance,Not selected,03-Jun-2025 09:32 AM,03-Jun-2025,"INR 3,047,750",120.0,Siva Sankar Giri,03-Jun-2025 09:37 AM,workorder.pdf (436.00 KB),Finance,all bids are accepted,Siva Sankar Giri,03-Jun-2025 09:15 AM,finance_532731.pdf,BOQ Comparative Chart,Tanuja Giri /Executive Officer,Internal,,Siva Sankar Giri,23-Apr-2025 07:16 PM,25-Apr-2025 10:00 AM,techsummary_532731.pdf (721.40 KB),Tanuja Giri /Executive Officer,Internal,,Siva Sankar Giri,03-Jun-2025 09:32 AM,finsummary_532731.pdf (428.28 KB),Technical,Total 10 bids are submitted and 10 bids are accepted,Siva Sankar Giri,23-Apr-2025 07:01 PM,technical_532731.pdf,Municipal Bodies||Remuna NAC,2025_ORULB_111499_1,RN_06_2024-25,Construction of C.C approach road from F.S.T.P site road to towards Additional MCC and MRFC site at Naraharipur in W.N 08 under Remuna NAC,1.0,2864280.0,DHARMABRATA MISHRA,INR,"3,047,750",AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,2,2863801,ARATIMANI DAS,24-Mar-2025 07:19 PM,Rejected-Technical,Technically not qualified,23-Apr-2025 07:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2868038,CHANDRA PRATAP MAHALIK,25-Mar-2025 04:15 PM,Rejected-Technical,Technically not qualified,23-Apr-2025 07:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2864280,DHARMABRATA MISHRA,25-Mar-2025 01:25 PM,Accepted-AOC,Selected in lottery,03-Jun-2025 09:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2867394,JITENDRA MALLICK,24-Mar-2025 07:42 PM,Rejected-Technical,Technically not qualified,23-Apr-2025 07:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2860604,KARTIKA CHANDRA PUSTI,21-Mar-2025 10:54 AM,Rejected-Finance,Not selected,03-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2867539,SAIRAM CONSTRUCTION,24-Mar-2025 10:48 PM,Rejected-Finance,Not selected,03-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2867915,SAROJ KUMAR BEHERA,25-Mar-2025 02:32 PM,Rejected-Technical,Technically not qualified,23-Apr-2025 07:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2868063,SATYA NARAYAN BEHERA,25-Mar-2025 04:52 PM,Rejected-Finance,Not selected,03-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2859747,SUDHIR KUMAR MOHALIK,17-Mar-2025 08:17 PM,Rejected-Finance,Not selected,03-Jun-2025 09:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
