Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
"Additional Chief Secretary to Govt., DoWR",External,"EIC, WR EIC, Procurement EIC, P and D CE and BM, MKS Joint Secretary to Govt, Finance Department Deputy Secretary to Govt, Law Department FA cum Special Secretary to Govt, DoWR",Dillip Kumar Rout,16-May-2024 12:14 PM,16-May-2024 03:00 PM,techsummary_479276.pdf (1829.02 KB),"CE-BM,LMB Basin,BBSR",2023_CELBB_98350_1,e Procurement Notice No.CEMKS 17 of 2023-24,Raising and strengthening of Tandahara-Singiripala Saline Embankment from RD 1.980 Km to 4.800 Km.,1.0,2365117.0,SIBA PRASAD PARIDA,INR,"93,498,569",Finance,Uploaded financial documents of 02(two) eligible bidders have been downloaded successfully.,Alsa Das,16-May-2024 03:20 PM,finance_479276.pdf,BOQ Comparative Chart,1,2371962,ACP CONSTRUCTION,29-Dec-2023 04:04 PM,Rejected-Finance,Loser in the Lottery,27-May-2025 12:42 PM,Technical,Uploaded documents of all the participated bidder have been downloaded successfully.,Alsa Das,30-Dec-2023 11:29 AM,technical_479276.pdf,10-Jun-2025,"INR 93,498,569",540.0,Dillip Kumar Rout,10-Jun-2025 12:48 PM,AOCTanddharaSingripala.pdf (555.00 KB),Awarded to Sri Siba Prasad Paride vide Agmt No. 161 P1 of 2024-25,DC cum ACS DOWR,External,EIC WR EIC Procurement EIC PD CEBM MKS Joint Secretary Finance Deputy Secretary Law FA cum Special Secretary DOWR,Alsa Das,27-May-2025 12:42 PM,finsummary_479276.pdf (2597.30 KB),AOC,15-Dec-2023 10:00 AM,30-Dec-2023 11:00 AM,15-Dec-2023 10:00 AM,29-Dec-2023 05:00 PM,15-Dec-2023 10:00 AM ,21-Dec-2023 05:00 PM ,15-Dec-2023 10:00 AM,29-Dec-2023 05:00 PM,16-May-2024 03:00 PM,Raising and strengthening of Tandahara-Singiripala Saline Embankment from RD 1.980 Km to 4.800 Km.,Raising and strengthening of saline embankment.,Please refer Tender documents. ,NA ,"10,99,85,378",Civil Works - Others,NA ,Tender,90.0,540.0,Block - Astaranga District - Puri,752109.0,NA ,NA ,NA ,"Room No.103, Procurement Cell of CE, MKS, BBSR",No ,No,"10,99,900",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, PAN, Contractor Registration Certificate","CE-BM,LMB Basin,BBSR",e Procurement Notice No.CEMKS 17 of 2023-24,2023_CELBB_98350_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"Chief Engineer and BM, Mahanadi, Kathajodi System","O/o the EIC, Water Resources, Secha Sadan, Bhubaneswar, Odisha.",AOC
,,,,,,,,,,,,,,,,,,,,,,2,2368332,M/S KBM CONSTRUCTION,26-Dec-2023 04:56 PM,Rejected-Technical,Does not satisfy the qualification criteria as per approved Tender Document,16-May-2024 12:14 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2365117,SIBA PRASAD PARIDA,29-Dec-2023 07:47 AM,Accepted-AOC,Awarded to Sri Siba Prasad Parida vide Agmt No. 161 P1 of 2024-25,10-Jun-2025 12:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,AOC
