S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Stage
1.0,2949883.0,Grant Thornton India LLP,INR,"10,000,000",Technical,6 Nos. of bids were received. Only 2 nos. of bids were technically qualified. Details Proceeding is attached,Chitta Ranjan Pattnaik,11-Jun-2025 04:49 PM,technical_540011.pdf,Panchayati Raj and Drinking Water Department Odisha||ORMAS,2025_ORMAS_113586_1,1637/17.05.2025,Selection of Agency for conducting Skill Gap Study under DDU GKY Ormas Odisha,CEO ORMAS,Mixed,"Addl CEO Finance ORMAS, Joint Secretary PR and DW Deptt, Dy CEO ORMAS, Auditor ORMAS",Chitta Ranjan Pattnaik,11-Jun-2025 07:37 PM,finsummary_540011.pdf (990.14 KB),CEO ORMAS,Mixed,Addl CEO Finance ORMAS Joint Secretary PR and DW Deptt Dy CEO ORMAS Auditor ORMAS,Chitta Ranjan Pattnaik,11-Jun-2025 04:59 PM,11-Jun-2025 05:05 PM,techsummary_540011.pdf (2303.09 KB),Finance,Financial Bids of 2 nos. qualified bidders were opened. The firm Grant Thornton India LLP found to be highest scorer (H1),Chitta Ranjan Pattnaik,11-Jun-2025 07:15 PM,finance_540011.pdf,1,2955457,Academy of Maagement Studies,09-Jun-2025 11:31 AM,Not Admitted-Fee/PreQual/Technical,Others-Absent during Technical presentation session in person,11-Jun-2025 04:49 PM,21-Jun-2025,"INR 10,000,000",180.0,Chitta Ranjan Pattnaik,21-Jun-2025 06:45 PM,LoI.pdf (394.00 KB),LoI for Skill Gap Study under DDUGKY ORMAS-Odisha to the Successful L1 Bidder,AOC,"11,800",Nil,Nil,No,Panchayati Raj and Drinking Water Department Odisha||ORMAS,1637/17.05.2025,2025_ORMAS_113586_1,Yes,Open Tender,EOI,Services,2.0,No,No,Online,No,No,No,Selection of Agency for conducting Skill Gap Study under DDU GKY Ormas Odisha,Selection of Agency for conducting Skill Gap Study under DDU GKY Ormas Odisha,Please refer Tender documents. ,NA ,,Consultancy Services,NA ,Tender,120.0,NA ,ORMAS SIRD and PR Campus Unit 8 Bhubaneswar,751012.0,ORMAS CONFERENCE HALL ,ORMAS SIRD and PR Campus Unit 8 Bhubaneswar ,27-May-2025 11:30 AM ,ORMAS CONFERENCE HALL,No ,No,19-May-2025 10:00 AM,10-Jun-2025 12:30 PM,19-May-2025 10:00 AM,09-Jun-2025 12:00 PM,19-May-2025 10:00 AM ,25-May-2025 05:00 PM ,19-May-2025 10:00 AM,09-Jun-2025 12:00 PM,11-Jun-2025 05:05 PM,1.0,Corrigendum Notice,Date,,CHIEF EXECUTIVE OFFICER ORMAS,ORMAS SIRD and PR Campus Unit 8 Bhubaneswar,"1,00,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Document as per DTCN,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2954650,CORE CARBONX SOLUTIONS PRIVATE LIMITED,09-Jun-2025 01:00 AM,Rejected-Finance,2nd Highest Scorer (H2),11-Jun-2025 07:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum as per Pre-bid,Technical Bid,,,,,,,,,,2.0,Finance,.pdf,Financial Bid,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2943977,CRISIL Limited,09-Jun-2025 10:25 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Jun-2025 04:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2953927,ETS Assessment Services Private Limited,09-Jun-2025 11:17 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Jun-2025 04:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2949883,Grant Thornton India LLP,09-Jun-2025 10:56 AM,Accepted-AOC,Successful L1 Bidder,21-Jun-2025 06:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2953868,Mazars Advisory LLP,09-Jun-2025 11:27 AM,Not Admitted-Fee/PreQual/Technical,Others-Absent during Technical presentation session in person,11-Jun-2025 04:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
