S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Municipal Bodies||Balasore Municipality,BM_02_2023_24,2023_ORULB_88734_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,CONSTRUCTION OF PAVER BLOCK ROAD FROM MINATI DHAL HOUSE TO C P MALLIK HOUSE NEAR RATIKANTA GIRLS HIGH SCHOOL IN WARD NO_23 under Balasore Municipality,CONSTRUCTION OF PAVER BLOCK ROAD FROM MINATI DHAL HOUSE TO C P MALLIK HOUSE NEAR RATIKANTA GIRLS HIGH SCHOOL IN WARD NO_23 under Balasore Municipality,Please refer Tender documents. ,NA ,"5,47,203",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,"Executive Officer, Balasore Municipality",Balasore Municipality,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,08-May-2023 05:00 PM,22-May-2023 11:00 AM,08-May-2023 05:00 PM,20-May-2023 05:00 PM,NA ,NA ,08-May-2023 05:00 PM,20-May-2023 05:00 PM,"5,472",Yes,percentage,1.0%,Nil,Nil,AOC,11-Aug-2023,"INR 645,700",60.0,Pranabananda Sahu,11-Aug-2023 06:01 PM,WO0235.pdf (348.00 KB),1,2142698,NANDA KISHORE RATH,20-May-2023 12:35 PM,Rejected-Finance,L4,11-Aug-2023 06:00 PM,EO ME CP,Internal,,Pranabananda Sahu,11-Aug-2023 02:22 PM,techsummary_436936.pdf (419.60 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_88734_35,BM_02_2023_24,CONSTRUCTION OF PAVER BLOCK ROAD FROM MINATI DHAL HOUSE TO C P MALLIK HOUSE NEAR RATIKANTA GIRLS HIGH SCHOOL IN WARD NO_23 under Balasore Municipality,EO ME CP,Internal,,Pranabananda Sahu,11-Aug-2023 06:00 PM,finsummary_436936.pdf (419.60 KB),Finance,Tender opened successfully,Kunal Motiram Chavan,23-May-2023 08:27 AM,,BOQ Comparative Chart,1.0,2142132.0,Ranjan Kumar Mallik,INR,"492,537.78",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,2,2143008,PRAVASH CHANDRA SAHOO,20-May-2023 04:33 PM,Rejected-Finance,L2,11-Aug-2023 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2142132,Ranjan Kumar Mallik,19-May-2023 06:15 PM,Accepted-AOC,WO,11-Aug-2023 06:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2142307,SANJITA MAJHI,19-May-2023 06:32 PM,Rejected-Finance,L3,11-Aug-2023 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
