Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Technical and Financial Committee,Sagrika Jena,31-Jul-2023 07:56 PM,finance_434809.pdf,BOQ Comparative Chart,1.0,2123380.0,BIKRAM KISHOR ROUT,INR,"259,148",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2023_CERWI_88048_19,Tender Online No-20 of 2022-23,S/R to R.I office building at Bilaspur for the year 2022-23 in the District of Jagatsinghpur,"E.E R.W Division, Jagatsinghpur",Internal,"Sr DAO,Estimator R.W Division Jagatsinghpur",Sagrika Jena,01-Aug-2023 05:21 PM,finsummary_434809.pdf (414.30 KB),"E.E R.W Division, Jagatsinghpur",Internal,"Sr DAO,Estimator R.W Division Jagatsinghpur",Sagrika Jena,01-Aug-2023 05:15 PM,techsummary_434809.pdf (414.30 KB),1,2121627,ASUTOSH NAYAK,25-Apr-2023 10:34 AM,Rejected-AOC,Not selected in lottery,01-Aug-2023 05:28 PM,01-Aug-2023,"INR 259,148",30.0,Sagrika Jena,01-Aug-2023 05:26 PM,Bilashpur.pdf (2031.00 KB),S/R to R.I office building at Bilaspur for the year 2022-23 in the District of Jagatsinghpur,AOC,"3,050",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, RC, No Relation, Affd. Towards Correctness Certificate etc.",S/R to R.I office building at Bilaspur for the year 2022-23 in the District of Jagatsinghpur,S/R to R.I office building at Bilaspur for the year 2022-23 in the District of Jagatsinghpur,Please refer Tender documents. ,NA ,"3,04,844",Civil Works - Buildings,NA ,Tender,90.0,NA ,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/o the Exe. Eng, R.W Divn, JSPur",No ,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online No-20 of 2022-23,2023_CERWI_88048_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"The Exe. Eng, R.W Divn, JSPur","O/o the Executive Engineer, R.W Divn, JSPur",19-Apr-2023 02:00 PM,28-Apr-2023 11:00 AM,19-Apr-2023 02:00 PM,27-Apr-2023 05:00 PM,19-Apr-2023 02:00 PM ,26-Apr-2023 03:00 PM ,19-Apr-2023 02:00 PM,27-Apr-2023 05:00 PM,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2123380,BIKRAM KISHOR ROUT,26-Apr-2023 04:58 PM,Accepted-AOC,selected in lottery,01-Aug-2023 05:28 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2124607,MANORANJAN PARIDA,27-Apr-2023 02:50 PM,Rejected-AOC,Not selected in lottery,01-Aug-2023 05:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2124235,PHANU CHARAN BEHERA,27-Apr-2023 11:58 AM,Rejected-AOC,Not selected in lottery,01-Aug-2023 05:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2118997,PRADEEP KUMAR DAS,22-Apr-2023 08:37 PM,Rejected-AOC,Not selected in lottery,01-Aug-2023 05:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2122006,PRIYA RANJAN ROUT,26-Apr-2023 10:02 PM,Rejected-AOC,Not selected in lottery,01-Aug-2023 05:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2120235,RUPAMANJARI MALLA,23-Apr-2023 09:03 PM,Rejected-AOC,Not selected in lottery,01-Aug-2023 05:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2121779,SASMITA PALATASINGH,25-Apr-2023 10:59 AM,Rejected-AOC,Not selected in lottery,01-Aug-2023 05:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2120295,SMT. PRAJJALINI SWAIN,23-Apr-2023 07:34 PM,Rejected-AOC,Not selected in lottery,01-Aug-2023 05:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2123436,SUVASMITA SAHOO,26-Apr-2023 06:34 PM,Rejected-AOC,Not selected in lottery,01-Aug-2023 05:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
