S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,21-Dec-2022 04:00 PM,05-Jan-2023 11:00 AM,21-Dec-2022 04:00 PM,04-Jan-2023 05:00 PM,21-Dec-2022 04:00 PM ,26-Dec-2022 05:00 PM ,21-Dec-2022 04:00 PM,04-Jan-2023 05:00 PM,13-Jan-2023 11:00 AM,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"Cluster of 1. Constn. of 100 Capacity Addl. Ward(50x2) at Circle Jail Choudwar, Cuttack and 2. Provision of 25 Nos. of PVC Water Tank 1000 Ltrs. Capacity for different prison ward at Circle Jail Choudwar, Cuttack",Building Work,Please refer Tender documents  ,NA ,"1,51,04,265",Civil Works - Buildings,NA ,Tender,90.0,360.0,Cuttack,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",0.0,No,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,45/OPHWC/2022-23,2022_OSPHW_84533_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,05-Aug-2023,"INR 13,592,328",360.0,Bikram Keshari Malla,05-Aug-2023 02:08 PM,WORKING.pdf (597.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 13.02.2023,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,05-Aug-2023 02:07 PM,finsummary_422084.pdf (1944.43 KB),Finance,FINANCE BID OPENED,Bikram Keshari Malla,13-Jan-2023 11:17 AM,,BOQ Comparative Chart,Technical,SINGLE BIDDER PARTICIPATED,Bikram Keshari Malla,05-Jan-2023 11:41 AM,,1.0,2039571.0,RANJAN KUMAR MOHANTY,04-Jan-2023 04:12 PM,Accepted-AOC,QUALIFIED BIDDER,05-Aug-2023 02:09 PM,Orissa State Police Housing and Welfare Corporation Ltd,2022_OSPHW_84533_3,45/OPHWC/2022-23,"Cluster of 1. Constn. of 100 Capacity Addl. Ward(50x2) at Circle Jail Choudwar, Cuttack and 2. Provision of 25 Nos. of PVC Water Tank 1000 Ltrs. Capacity for different prison ward at Circle Jail Choudwar, Cuttack",1.0,2039571.0,RANJAN KUMAR MOHANTY,INR,"13,592,328",AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,12-Jan-2023 06:54 PM,13-Jan-2023 11:00 AM,techsummary_422084.pdf (102.72 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
