Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Executive Engineer,Div-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",Construction of R.C.C. drain and C.C. road from MCC Building to Qtr No. A/32 at Lower Police Colony in Ward No. 08.,Construction of R.C.C. drain and C.C. road from MCC Building to Qtr No. A/32 at Lower Police Colony in Ward No. 08.,Please refer Tender documents. ,NA ,"21,85,000",Civil Works - Others,NA ,Tender,90.0,60.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane",No ,No,1.0,ICICI BANK,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No21/2022-23,2023_ORULB_86162_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST AND EMD ONLINE,VAT, PAN, EPF REGISTRATION AND GST-IN CERTIFICATE OTHER DOCUMENTS",17-Feb-2023 03:00 PM,03-Mar-2023 11:00 AM,17-Feb-2023 03:00 PM,28-Feb-2023 05:00 PM,17-Feb-2023 03:00 PM ,28-Feb-2023 05:00 PM ,17-Feb-2023 03:00 PM,28-Feb-2023 05:00 PM,"21,900",Yes,fixed,,Nil,Nil,"7,080",0.0,Nil,Nil,No,AOC,01-Aug-2023,"INR 1,857,401",60.0,Nanda Kishor Pal,01-Aug-2023 06:36 PM,2503PW.pdf (70.00 KB),Work Order,1,2092438,CHANDRABATI BISWAL,28-Feb-2023 01:12 PM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,Executive Engineer,Internal,Asst. Executive Engineer,Nanda Kishor Pal,01-Aug-2023 06:28 PM,techsummary_429231.pdf (412.24 KB),Executive Engineer,Internal,Asst. Executive Engineer,Nanda Kishor Pal,01-Aug-2023 06:35 PM,finsummary_429231.pdf (412.24 KB),Municipal Bodies||Cuttack Municipal Corporation,2023_ORULB_86162_18,MC(CMC)CTC_Div-I_No21/2022-23,Construction of R.C.C. drain and C.C. road from MCC Building to Qtr No. A/32 at Lower Police Colony in Ward No. 08.,1.0,2092284.0,"SHREE AGENCY, Prop BISWAJEET MAJHI",INR,"1,857,401",Finance,Fourteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Nanda Kishor Pal,06-Mar-2023 12:10 PM,finance_429231.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2091923,DEBASIS JENA,27-Feb-2023 04:30 PM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2091351,DEBASIS SAHOO,28-Feb-2023 11:10 AM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2092529,DURGA PRASANNA DAS,28-Feb-2023 02:58 PM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2092474,HAREKRUSHNA SETHI,28-Feb-2023 01:44 PM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2092463,MANOJ KUMAR BEHERA,28-Feb-2023 01:39 PM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2089836,PRADEEP KUMAR CHHATOI,25-Feb-2023 07:33 PM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2085667,PRASANTA KUMAR BEHERA,21-Feb-2023 11:43 AM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2092452,PRAVAT CHANDRA BEHERA,28-Feb-2023 01:27 PM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2089037,RAGHUNATH CONSTRUCTION,24-Feb-2023 01:15 PM,Rejected-AOC,rejected,01-Aug-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
