Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Bhawanipatna Municipality,BPM/02/2023-24,2023_ORULB_89441_72,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",Construction of RCC dain with culvert from Prasana Jena house to Gangadi gudi in Ward No. 14,Construction of RCC dain with culvert from Prasana Jena house to Gangadi gudi in Ward No. 14,Please refer Tender documents. ,NA ,"3,44,579",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"3,446",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,01-Jun-2023 10:00 AM,13-Jun-2023 10:00 AM,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,NA ,NA ,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,1,ICICI BANK,AOC,30-Aug-2023,"INR 292,926.22",30.0,Chinmaya Kumar Nayak,30-Aug-2023 06:03 PM,TENDERPROCEEDING.pdf (2453.00 KB),AWARDED,1,2159051,BIKASH KUMAR SAHANI,11-Jun-2023 11:54 PM,Rejected-Finance,IN LOTTERY,30-Aug-2023 06:02 PM,CP,Internal,ACCEPTED,Chinmaya Kumar Nayak,15-Jul-2023 10:45 PM,techsummary_439732.pdf (2452.55 KB),CP,Internal,"JE,ME,EO,STO,CP",Chinmaya Kumar Nayak,30-Aug-2023 06:02 PM,finsummary_439732.pdf (2452.55 KB),Municipal Bodies||Bhawanipatna Municipality,2023_ORULB_89441_72,BPM/02/2023-24,Construction of RCC dain with culvert from Prasana Jena house to Gangadi gudi in Ward No. 14,1.0,2159065.0,NILAKANTHA SAHU,INR,"292,926.22",Finance,ACCEPTED,Chinmaya Kumar Nayak,15-Jul-2023 08:02 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,2,2159065,NILAKANTHA SAHU,11-Jun-2023 11:49 PM,Accepted-AOC,AWARDED,30-Aug-2023 06:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
