Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Hindol NAC,HDL NAC-01/2022-23,2022_ORULB_77859_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,0.0,No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of C.C Road from Pump House to Sanischara temple in Ward No-05.Krushna plot towards Harizan Sahi Community Center in Ward No-05.,As per DTCN,Please refer Tender documents. ,NA ,"7,95,100",Civil Works - Others,NA ,Tender,120.0,60.0,HINDOL NAC,759022.0,NA ,NA ,NA ,HINDOL NAC,No ,No,23-May-2022 01:00 PM,03-Jun-2022 11:00 AM,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,NA ,NA ,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,EXECUTIVE OFFICER,HINDOL NAC,AOC,22-Aug-2023,"INR 675,878",60.0,Maruvada Srinivas,22-Aug-2023 03:37 PM,11.pdf (97.00 KB),AOC,1,1855690,BABHRU PRASAD PATI,30-May-2022 12:30 PM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,22-Aug-2023 11:02 AM,techsummary_399459.pdf (156.15 KB),Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,22-Aug-2023 03:32 PM,finsummary_399459.pdf (156.15 KB),Municipal Bodies||Hindol NAC,2022_ORULB_77859_11,HDL NAC-01/2022-23,Construction of C.C Road from Pump House to Sanischara temple in Ward No-05.Krushna plot towards Harizan Sahi Community Center in Ward No-05.,1.0,1854508.0,SOMANATH SETHI,INR,"675,878",Finance,lottery,Maruvada Srinivas,19-Aug-2023 05:46 PM,finance_399459.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,1856324,BIRANCHI MOHAPATRA,30-May-2022 04:22 PM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,1857578,DHANESWAR DAS,31-May-2022 11:30 AM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,1859060,Gyanaranjan Amanta,01-Jun-2022 07:52 AM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,1859544,Krishna Chandra Naik,01-Jun-2022 01:47 PM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,1859159,MADAN NAIK (S.C),01-Jun-2022 02:48 AM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,1859290,MANOJA KUMAR BISWAL,01-Jun-2022 03:50 PM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,1859164,Pradeep Kumar Behera,01-Jun-2022 03:32 AM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,1857091,PRADIP KUMAR DAS,31-May-2022 12:18 AM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,1859025,PRADOSH PAL,31-May-2022 09:32 PM,Rejected-Technical,Lottery,22-Aug-2023 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
