S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,EXECUTIVE OFFICER,BARGARH MUNICIPALITY,"16,000",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,"Fixing of paver block from Police Special Squad office to Ananda Mandap Backside Wall, Ward No-11","Fixing of paver block from Police Special Squad office to Ananda Mandap Backside Wall, Ward No-11",Please refer Tender documents. ,NA ,"15,84,381",Civil Works - Roads,NA ,Tender,180.0,6.0,BARGARH MUNICIPALITY,768028.0,NA ,NA ,NA ,BARGARH MUNICIPALITY,No ,No,Municipal Bodies||Bargarh Municipal Council,10/BGH- MUN/2022-23,2023_ORULB_85372_42,Yes,Open Tender,Item Wise,Works,1.0,No,No,Online,No,No,No,21-Jan-2023 03:00 PM,06-Feb-2023 11:00 AM,21-Jan-2023 03:00 PM,04-Feb-2023 05:30 PM,21-Jan-2023 03:00 PM ,04-Feb-2023 05:30 PM ,21-Jan-2023 03:00 PM,04-Feb-2023 05:30 PM,AOC,1,2068340,Ambarish Kumar Dhal,02-Feb-2023 04:57 PM,Accepted-AOC,AOC,10-Aug-2023 04:02 PM,10-Aug-2023,"INR 1,584,426",90.0,Narayan Dandsena,10-Aug-2023 04:02 PM,ADWO.pdf (546.00 KB),CP,Internal,All Members,Narayan Dandsena,10-Aug-2023 03:53 PM,techsummary_425666.pdf (308.33 KB),Municipal Bodies||Bargarh Municipal Council,2023_ORULB_85372_42,10/BGH- MUN/2022-23,"Fixing of paver block from Police Special Squad office to Ananda Mandap Backside Wall, Ward No-11",CP,Internal,All Members,Narayan Dandsena,10-Aug-2023 03:57 PM,finsummary_425666.pdf (308.33 KB),Finance,Both are accepted,Prangya Paramita Panigrahi,10-Aug-2023 01:36 PM,finance_425666.pdf,BOQ Comparative Chart,1.0,2068340.0,Ambarish Kumar Dhal,INR,"1,584,426",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2068333,DINABANDHU BHOSAGAR,02-Feb-2023 05:07 PM,Rejected-Finance,Rejected,10-Aug-2023 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
