S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,2124313.0,SUDARSHAN SETHY,INR,"6,998,528.62",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-KEONJHAR,2023_EICCL_88111_1,Bid Identification No PWDK- 44 / 2022-23.,Proposed Modification of Existing Hexagonal Structure of Odisha Adarsha Vidyalaya as per CBSE norms at Oriya under Telkoi Block in the district of Keonjhar for the year 2022-23 .(Civil and EI),Er Santosh Kumar Behera,Internal,"Superintending Engineer, Divisional Accounts Officer No-I, Assistant Executive Engineer Keonjhar R and B Division Keonjhar",Santosh kumar Behera,18-May-2023 04:23 PM,18-May-2023 04:30 PM,techsummary_434893.pdf (192.31 KB),02-Aug-2023,"INR 6,998,528.62",180.0,Santosh kumar Behera,02-Aug-2023 02:21 PM,162_Sudarshan.pdf (264.00 KB),2nd Time single bidder,Er Santosh Kumar Behera,Internal,"Superintending Engineer, Divisional Accounts Officer No-I, Assistant Executive Engineer Keonjhar R and B Division Keonjhar",Santosh kumar Behera,02-Aug-2023 02:19 PM,finsummary_434893.pdf (73.20 KB),Finance,Bid opening summary,Santosh kumar Behera,18-May-2023 04:36 PM,finance_434893.pdf,BOQ Comparative Chart,1.0,2124313.0,SUDARSHAN SETHY,27-Apr-2023 12:47 PM,Accepted-AOC,2nd Time Single bidder,02-Aug-2023 02:22 PM,Technical,Bid opening summary,Santosh kumar Behera,03-May-2023 01:07 PM,technical_434893.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, PAN, GSTIN, Contractor registration Certificate, Affidavit","10,000",0.0,Nil,Nil,No,19-Apr-2023 11:00 AM,03-May-2023 11:30 AM,19-Apr-2023 11:00 AM,02-May-2023 05:00 PM,NA ,NA ,19-Apr-2023 11:00 AM,02-May-2023 05:00 PM,18-May-2023 04:30 PM,1.0,ICICI BANK,"76,100",Yes,fixed,,Nil,Nil,Proposed Modification of Existing Hexagonal Structure of Odisha Adarsha Vidyalaya as per CBSE norms at Oriya under Telkoi Block in the district of Keonjhar for the year 2022-23 .(Civil and EI),Proposed Modification of Existing Hexagonal Structure of Odisha Adarsha Vidyalaya as per CBSE norms at Oriya under Telkoi Block in the district of Keonjhar for the year 2022-23 .(Civil and EI),Please refer Tender documents. ,NA ,"75,08,345",Civil Works - Buildings,NA ,Tender,90.0,180.0,Keonjhar,758001.0,NA ,NA ,NA ,"O/o the Superintending Engineer,Keonjhar(RandB)Div",No ,No,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-KEONJHAR,Bid Identification No PWDK- 44 / 2022-23.,2023_EICCL_88111_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Superintending Engineer,Keonjhar(R and B) Division","O/o the Superintending Engineer, Keonjhar (R and B) Division, Keonjhar -758001",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
