Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
A K PAL,Internal,"R K DASH. D MOHAPATRA, S R PATTNAIK, L D BEHERA",Satyajit Jena,20-Mar-2023 05:46 PM,20-Mar-2023 05:55 PM,techsummary_425168.pdf (660.57 KB),A K PAL,Internal,L D BEHERA R K DASH DEBENDU MOHAPATRA S R PATTANAIK,Satyajit Jena,23-May-2023 06:13 PM,finsummary_425168.pdf (46.68 KB),Technical,13 (Thirteen) bids has been received subjected to evaluation by committee,Durgamadhab Mallik,01-Feb-2023 06:47 PM,,1.0,2063171.0,RAKESH KUMAR PRADHAN,INR,"8,740,289.33",Finance,Financial bid ofall 13 (Thirteen) qualified bidders had been open out.,NIBEDITA SAHOO,20-Mar-2023 06:08 PM,,BOQ Comparative Chart,1,2061385,BIBHU PRASAD SAHOO,25-Jan-2023 05:48 PM,Rejected-Finance,NOT BEING L1 OR L2,23-May-2023 06:13 PM,23-May-2023,"INR 8,740,289.33",180.0,Satyajit Jena,25-Aug-2023 02:32 PM,2023_OMC_85316_2.pdf (549.00 KB),"Special repair to D, F and 1R type quarters at Central Township, Kaliapani in the district of Jajpur.",Orissa Mining Corporation,2023_OMC_85316_2,NIT No. 03/OMC/CIVIL/2023,"Special repair to D, F and 1R type quarters at Central Township, Kaliapani in the district of Jajpur.",AOC,1.0,CORRIGENDUM 1,Technical Bid,,"CGM(C), OMC Ltd., Bhubaneswar","Office of the CGM(C), OMC Ltd., Bhubaneswar",Orissa Mining Corporation,NIT No. 03/OMC/CIVIL/2023,2023_OMC_85316_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Special repair to D, F and 1R type quarters at Central Township, Kaliapani in the district of Jajpur.","Special repair to D, F and 1R type quarters at Central Township, Kaliapani in the district of Jajpur.","RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requirements ",NA ,"1,02,82,000",Civil Works - Others,NA ,Tender,90.0,180.0,KALIAPANI,755028.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,16-Jan-2023 06:30 PM,31-Jan-2023 11:00 AM,16-Jan-2023 06:30 PM,30-Jan-2023 05:00 PM,NA ,NA ,16-Jan-2023 06:30 PM,30-Jan-2023 05:00 PM,20-Mar-2023 05:55 PM,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requ","1,02,900",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2063000,BIBHUTI BHUSAN ROUT,27-Jan-2023 06:41 PM,Rejected-Finance,NOT BEING L1 OR L2,23-May-2023 06:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,FINANCIAL,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2065809,BISWAJIT ROUT,30-Jan-2023 03:40 PM,Rejected-Finance,NOT BEING L1 OR L2,23-May-2023 06:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2065896,JAGADISH BEHERA,30-Jan-2023 03:57 PM,Rejected-Finance,NOT BEING L1 OR L2,23-May-2023 06:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2063136,LAREN CHOUDHURY,27-Jan-2023 09:31 PM,Rejected-Finance,NOT BEING L1 OR L2,23-May-2023 06:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2060489,MALAYA RANJAN DALABEHERA,24-Jan-2023 05:57 PM,Rejected-Finance,NOT BEING L1 OR L2,23-May-2023 06:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2064557,MANAMOHAN BARAL,29-Jan-2023 06:59 PM,Rejected-Finance,NOT BEING L1 OR L2,23-May-2023 06:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2065898,M/S RAGHUNATH PRADHAN,30-Jan-2023 03:35 PM,Rejected-Finance,NOT BEING L1 OR L2,23-May-2023 06:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2065973,PRAKASH KUMAR PANDA,30-Jan-2023 04:05 PM,Rejected-AOC,NOT BEING L1,25-Aug-2023 02:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2060474,PRAVAT KUMAR BISWAL,24-Jan-2023 05:44 PM,Rejected-Finance,NOT BEING L1 OR L2,23-May-2023 06:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
