Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Balasore Municipality,BM_02_2023_24,2023_ORULB_88734_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,031",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"4,000",0.0,Nil,Nil,No,"Executive Officer, Balasore Municipality",Balasore Municipality,08-May-2023 05:00 PM,22-May-2023 11:00 AM,08-May-2023 05:00 PM,20-May-2023 05:00 PM,NA ,NA ,08-May-2023 05:00 PM,20-May-2023 05:00 PM,Const. of RCC Drain from Suari Mangala to Sitala Mandir in Ward No_01 under Balasore Municipality,Const. of RCC Drain from Suari Mangala to Sitala Mandir in Ward No_01 under Balasore Municipality,Please refer Tender documents. ,NA ,"5,03,107",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1,ICICI BANK,AOC,11-Aug-2023,"INR 593,666",60.0,Pranabananda Sahu,11-Aug-2023 05:53 PM,WO0234.pdf (371.00 KB),1,2142103,Benudhara Majhi,19-May-2023 12:20 PM,Accepted-AOC,WO,11-Aug-2023 05:54 PM,EO ME CP,Internal,,Pranabananda Sahu,11-Aug-2023 02:23 PM,techsummary_436935.pdf (357.66 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_88734_34,BM_02_2023_24,Const. of RCC Drain from Suari Mangala to Sitala Mandir in Ward No_01 under Balasore Municipality,EO ME CP,Internal,,Pranabananda Sahu,11-Aug-2023 05:53 PM,finsummary_436935.pdf (357.66 KB),Finance,Tender opened successfully,Kunal Motiram Chavan,23-May-2023 08:17 AM,,BOQ Comparative Chart,1.0,2142103.0,Benudhara Majhi,INR,"502,855.45",AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,2,2142125,MADAN BEHERA,19-May-2023 12:36 PM,Rejected-Finance,L2,11-Aug-2023 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
