Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,TWO NOS OF BIDDERS PARTICIPATED,Abhishek Panda,24-Aug-2023 07:35 PM,finance_434996.pdf,BOQ Comparative Chart,1.0,2125967.0,SANGRAM KESHARI MALIK,INR,"545,000",Municipal Bodies||Joda Municipality,2023_ORULB_88087_46,JM-01/2023-24,Widening of Road with Paver Block from AWC to Sonu Shop in Ward No 14,ABHISEK PANDA,Internal,BHAKTABANDHU MAHANTA,Abhishek Panda,24-Aug-2023 07:41 PM,finsummary_434996.pdf (3080.92 KB),ABHISEK PANDA,Internal,BHAKTABANDHU MAHANTA,Abhishek Panda,24-Aug-2023 07:38 PM,techsummary_434996.pdf (3080.92 KB),24-Aug-2023,"INR 545,000",60.0,Abhishek Panda,24-Aug-2023 07:50 PM,WORKSLNO46.pdf (389.00 KB),SANGRAM KESHARI MALIK AWARDED BEING A SC CATEGORY CONTRACTOR,1,2125996,RABINARAYAN SAHOO,30-Apr-2023 07:36 AM,Rejected-AOC,THOUGH L1 GENERAL CATEGORY CONTRACTOR,24-Aug-2023 07:52 PM,AOC,Municipal Bodies||Joda Municipality,JM-01/2023-24,2023_ORULB_88087_46,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,EXECUTIVE OFFICER JODA MUNICIPALITY,JODA MUNICIPALITY OFFICE AT PO BANEIKALA JODA DIST KEONJHAR ODISHA 758038,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CONTRACTOR LICENSE LABOUR LICENSE OTHER DOCUMENTS AS PER DTCN,20-Apr-2023 10:00 AM,06-May-2023 10:00 AM,20-Apr-2023 10:00 AM,05-May-2023 05:00 PM,NA ,NA ,20-Apr-2023 10:00 AM,05-May-2023 05:00 PM,"4,240",Yes,fixed,,Nil,Nil,Widening of Road with Paver Block from AWC to Sonu Shop in Ward No 14,WORKS,Please refer Tender documents. ,NA ,"4,24,084",Civil Works - Others,NA ,Tender,120.0,60.0,JODA MUNICIPALITY,758038.0,NA ,NA ,NA ,JODA MUNICIPALITY OFFICE,No ,No,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2125967,SANGRAM KESHARI MALIK,30-Apr-2023 08:11 AM,Accepted-AOC,THOUGH L2 BEING SC CATEGORY CONTRACTOR,24-Aug-2023 07:52 PM,AOC,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,.xls,BILL OF QUANTITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
