Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Superintending Engineer,Internal,AEE DAO-I,Shashanka Sekhar Dash,14-Aug-2023 12:03 PM,techsummary_411980.pdf (999.40 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-JHARSUGUDA,2022_EICCL_81847_2,Bid Identification No-EE-RandB-JSG-11- OF 2022-23,"Shifting of 250 Kva 11/0.4Kv S/S from the premises of Ladies Hostel and 100 Kva S/S from the premises of JES, Jharsuguda for the year 2022-23",1.0,1948176.0,Jay Maa Engineering,INR,"1,460,948",1,1948712,AYUSH POWER INFRASTRUCTURE,12-Oct-2022 03:29 PM,Rejected-AOC,NOT QUALIFY FOR LOTTERY,14-Aug-2023 12:08 PM,14-Aug-2023,"INR 1,460,948",30.0,Shashanka Sekhar Dash,14-Aug-2023 12:07 PM,250ladiesjes.pdf (999.00 KB),AOC,Finance,cs,Ashish Kumar Lenka,09-Nov-2022 04:35 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,AEE DAO-I,Shashanka Sekhar Dash,14-Aug-2023 12:05 PM,finsummary_411980.pdf (999.40 KB),AOC,"17,186",Yes,percentage,1.0%,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-JHARSUGUDA,Bid Identification No-EE-RandB-JSG-11- OF 2022-23,2022_EICCL_81847_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EE Jharsuguda R and B Division,O/O the SE Jharsuguda R and B Division,"Shifting of 250 Kva 11/0.4Kv S/S from the premises of Ladies Hostel and 100 Kva S/S from the premises of JES, Jharsuguda for the year 2022-23","Shifting of 250 Kva 11/0.4Kv S/S from the premises of Ladies Hostel and 100 Kva S/S from the premises of JES, Jharsuguda for the year 2022-23",Please refer Tender documents. ,NA ,"17,18,561",Electrical Works,NA ,Tender,90.0,30.0,JHARSUGUDA,768201.0,NA ,NA ,NA ,O/O the SE Jharsuguda R and B Division,No ,No,28-Sep-2022 05:00 PM,13-Oct-2022 11:30 AM,28-Sep-2022 05:00 PM,12-Oct-2022 05:00 PM,28-Sep-2022 05:00 PM ,12-Oct-2022 05:00 PM ,28-Sep-2022 05:00 PM,12-Oct-2022 05:00 PM,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC BOOK,TENDER COST,AFFIDAVIT,EMD,PAN, GSTN, LEASE AGREEMENT, MOU OF ELECTRICAL CONTRACTOR, BID SECu",AOC
,,,,,,,,,,,,,,,2,1948683,DO INFRA AND POWER PRIVATE LIMITED,12-Oct-2022 02:58 PM,Rejected-AOC,LOTTERY NOT IN FAVOUR,14-Aug-2023 12:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,3,1948176,Jay Maa Engineering,12-Oct-2022 10:59 AM,Accepted-AOC,LOTTERY IN FAVOUR,14-Aug-2023 12:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,1945783,M B Power & Solution,09-Oct-2022 06:03 PM,Rejected-AOC,LOTTERY NOT IN FAVOUR,14-Aug-2023 12:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,1948660,M/s. GLOBAL ELECTRICALS,12-Oct-2022 03:08 PM,Rejected-AOC,LOTTERY NOT IN FAVOUR,14-Aug-2023 12:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
