Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Finance,lottery,Maruvada Srinivas,19-Aug-2023 06:30 PM,finance_399574.pdf,BOQ Comparative Chart,1.0,1855874.0,BABHRU PRASAD PATI,INR,"455,560",Municipal Bodies||Hindol NAC,2022_ORULB_77859_37,HDL NAC-01/2022-23,Construction of CC Road at Bajia Sahi in Ward No-14.,Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,23-Aug-2023 11:31 AM,finsummary_399574.pdf (156.15 KB),Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,21-Aug-2023 05:28 PM,techsummary_399574.pdf (156.15 KB),23-Aug-2023,"INR 455,560",60.0,Maruvada Srinivas,23-Aug-2023 12:02 PM,37.pdf (107.00 KB),AOC,1,1857337,ANOJ KUMAR PATTANAIK,31-May-2022 09:41 AM,Rejected-Technical,Lottery,21-Aug-2023 05:28 PM,AOC,0.0,No,fixed,,Nil,Nil,23-May-2022 01:00 PM,03-Jun-2022 11:00 AM,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,NA ,NA ,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,EXECUTIVE OFFICER,HINDOL NAC,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Hindol NAC,HDL NAC-01/2022-23,2022_ORULB_77859_37,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of CC Road at Bajia Sahi in Ward No-14.,As per DTCN,Please refer Tender documents. ,NA ,"5,35,890",Civil Works - Others,NA ,Tender,120.0,60.0,HINDOL NAC,759022.0,NA ,NA ,NA ,HINDOL NAC,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1859313,ASHOK KUMAR NAYAK,01-Jun-2022 11:18 AM,Rejected-Technical,Lottery,21-Aug-2023 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1855874,BABHRU PRASAD PATI,30-May-2022 02:57 PM,Accepted-AOC,L1,23-Aug-2023 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1854398,BADRI NARAYAN DAS,28-May-2022 01:50 PM,Rejected-Technical,Lottery,21-Aug-2023 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1856939,BIRANCHI MOHAPATRA,30-May-2022 10:39 PM,Rejected-Technical,Lottery,21-Aug-2023 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1859001,Gyanaranjan Amanta,01-Jun-2022 06:53 AM,Rejected-Technical,Lottery,21-Aug-2023 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1859599,Krishna Chandra Naik,01-Jun-2022 02:09 PM,Rejected-Technical,Lottery,21-Aug-2023 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1859677,MADAN NAIK (S.C),01-Jun-2022 03:19 PM,Rejected-Technical,Lottery,21-Aug-2023 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1859407,MANOJA KUMAR BISWAL,01-Jun-2022 04:10 PM,Rejected-Technical,Lottery,21-Aug-2023 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1859154,Pradeep Kumar Behera,01-Jun-2022 01:38 AM,Rejected-Technical,Lottery,21-Aug-2023 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
