Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Tender Stage
ALOK KUMAR NAIK,Internal,1-VINIT KUMAR 2-BASANTA KUMAR DEHURY 3- UMESH CHANDRA BHOI,Alok Naik,24-Aug-2023 01:25 PM,techsummary_441573.pdf (563.79 KB),1,2170455,BIKASH SETH,28-Jun-2023 03:16 PM,Accepted-AOC,WORK AWARDED BY TRANSPARENT LOTTERY SYSTEM,24-Aug-2023 02:25 PM,24-Aug-2023,"INR 968,590.27",60.0,Alok Naik,24-Aug-2023 02:24 PM,AocBMWBhukta.pdf (564.00 KB),Finance,Total No. of 2 bidder participated and all are accepted for Technical and Financial Evaluation Process,Alok Naik,24-Aug-2023 01:06 PM,,BOQ Comparative Chart,1.0,2170455.0,BIKASH SETH,INR,"968,590.27",EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,2023_EICCL_89925_10,IFB-SE PWD BGH-09 OF 2023-24,"Construction of containment area (installation of Bio-Medical waste Management equipment) at CHC, Bhukta in the District of Bargarh for the year 2023-24",ALOK KUMAR NAIK,Internal,1-VINIT KUMAR 2-BASANTA KUMAR DEHURY 3- UMESH CHANDRA BHOI,Alok Naik,24-Aug-2023 01:37 PM,finsummary_441573.pdf (563.79 KB),AOC,"6,000",0.0,Nil,Nil,No,"SE (R AND B) DIVISION, BARGARH","O/O THE SE (R AND B) DIVISION, BARGARH, At-GOVT BUS STAND, INFRONT OF WOMENS COLLEGE BARGARH",1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GSTIN, PAN, EPF, ESI, Affidavit and other documents as per DTCN","11,394",Yes,fixed,,Nil,Nil,"Construction of containment area (installation of Bio-Medical waste Management equipment) at CHC, Bhukta in the District of Bargarh for the year 2023-24","BUILDING WORK (CIVIL, EI AND PH)",PLESE REFER THE TENDER DOCUMENT ,NA ,"11,39,384",Civil Works - Buildings,NA ,Tender,90.0,60.0,BHUKTA,768045.0,NA ,NA ,NA ,"O/O THE SE (R AND B) DIVISION, BARGARH",No ,No,1.0,1ST CORRIGENDUM,Other,,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,IFB-SE PWD BGH-09 OF 2023-24,2023_EICCL_89925_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,21-Jun-2023 11:00 AM,01-Jul-2023 11:30 AM,21-Jun-2023 11:00 AM,29-Jun-2023 05:00 PM,21-Jun-2023 11:00 AM ,29-Jun-2023 05:00 PM ,21-Jun-2023 11:00 AM,29-Jun-2023 05:00 PM,1,ICICI BANK,AOC
,,,,,,2,2169991,MANORANJAN SAHU,27-Jun-2023 09:12 PM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,24-Aug-2023 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
