S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate","10,000",0.0,Nil,Nil,No,27-Mar-2023 05:00 PM,19-Apr-2023 10:00 AM,27-Mar-2023 05:00 PM,18-Apr-2023 05:00 PM,27-Mar-2023 05:00 PM ,17-Apr-2023 01:00 PM ,27-Mar-2023 05:00 PM,18-Apr-2023 05:00 PM,17-Jun-2023 11:00 AM,CE RW I||RWCIRCLE-BALANGIR,BLGR-Online-28/2022-23,2023_CERWI_87290_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,71,970",Yes,percentage,1.0%,Nil,Nil,1.0,1st Corrigendum,Date,,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o Chief Construction Engineer, R.W.Circle, Bolangir",Construction of H.L Bridge over Local Nallah at 3.03 km on Kameimunda to Kuabalijharan (PMGSY) road in the district of Bolangir under BSY for the year 2022-23,Construction of H.L Bridge over Local Nallah at 3.03 km on Kameimunda to Kuabalijharan (PMGSY) road in the district of Bolangir under BSY for the year 2022-23,Please refer Tender documents. ,NA ,"1,71,97,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Titilagarh,767033.0,NA ,NA ,NA ,"O/o the C.C.E.R.W.Circle, Bolangir",No ,No,AOC,Finance,financial bids are opened,Subhrata Meher,17-Jun-2023 02:13 PM,finance_432536.pdf,BOQ Comparative Chart,Technical,6 nos bids opened,Debendra Kumar Seth,20-Apr-2023 10:29 AM,technical_432536.pdf,1,2114735,ATUL KUMAR JAIN,18-Apr-2023 10:00 AM,Rejected-Finance,L2,04-Aug-2023 05:03 PM,D K SETH,Internal,,Debendra Kumar Seth,04-Aug-2023 05:03 PM,finsummary_432536.pdf (272.38 KB),04-Aug-2023,"INR 17,197,168.16",365.0,Debendra Kumar Seth,04-Aug-2023 05:04 PM,KUABALIJHARAN3.03.pdf (272.00 KB),Success in lottery system,Debendra Kumar Seth,Internal,Debendra Kumar Seth,Debendra Kumar Seth,09-Jun-2023 01:46 PM,17-Jun-2023 11:00 AM,techsummary_432536.pdf (164.91 KB),1.0,2112046.0,OM CONSTRUCTIONS,INR,"14,619,312.65",CE RW I||RWCIRCLE-BALANGIR,2023_CERWI_87290_6,BLGR-Online-28/2022-23,Construction of H.L Bridge over Local Nallah at 3.03 km on Kameimunda to Kuabalijharan (PMGSY) road in the district of Bolangir under BSY for the year 2022-23,AOC
2.0,ICICI NEFT/RTGS,,,.pdf,"ATO, Similar Nature of Work, Machineries and others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2114524,M/S RAJ KUMAR AGRAWAL,15-Apr-2023 09:53 PM,Rejected-Finance,Unsuccess in lottery system,04-Aug-2023 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2115932,MS TILAK CHAND AGRAWAL,18-Apr-2023 02:51 PM,Rejected-Technical,Work Experience certificate on similar nature of work furnished by the bidder is false and fabricated,09-Jun-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2112046,OM CONSTRUCTIONS,11-Apr-2023 09:13 AM,Accepted-AOC,Success in lottery system,04-Aug-2023 05:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2109793,Sachin Agarwal,07-Apr-2023 01:09 PM,Rejected-Finance,Unsuccess in lottery system,04-Aug-2023 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,2114616,Yajat Agrawal,16-Apr-2023 01:05 PM,Rejected-Finance,Unsuccess in lottery system,04-Aug-2023 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
