Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
EXECUTIVE OFFICER JODA MUNICIPALITY,JODA MUNICIPALITY OFFICE AT PO BANEIKALA JODA DIST KEONJHAR ODISHA 758038,1,ICICI BANK,Municipal Bodies||Joda Municipality,JM-01/2023-24,2023_ORULB_88087_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"8,475",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,Special Repair of Road with Culvert for Baneikala Road in Ward No 02,WORKS,Please refer Tender documents. ,NA ,"8,47,592",Civil Works - Others,NA ,Tender,120.0,90.0,JODA MUNICIPALITY,758038.0,NA ,NA ,NA ,JODA MUNICIPALITY OFFICE,No ,No,20-Apr-2023 10:00 AM,06-May-2023 10:00 AM,20-Apr-2023 10:00 AM,05-May-2023 05:00 PM,NA ,NA ,20-Apr-2023 10:00 AM,05-May-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CONTRACTOR LICENSE LABOUR LICENSE OTHER DOCUMENTS AS PER DTCN,AOC,ABHISEK PANDA,Internal,BHAKTABANDHU MAHANTA,Abhishek Panda,22-Aug-2023 12:04 PM,techsummary_434852.pdf (3080.92 KB),1.0,2121598.0,SANGRAM KESHARI MALIK,INR,"1,090,000",Municipal Bodies||Joda Municipality,2023_ORULB_88087_9,JM-01/2023-24,Special Repair of Road with Culvert for Baneikala Road in Ward No 02,1,2122564,RABINARAYAN SAHOO,30-Apr-2023 07:29 AM,Rejected-AOC,THOUGH RABINARAYAN SAHOO IS L1 SINCE HE IS GENERAL CATEGORY,22-Aug-2023 12:23 PM,ABHISEK PANDA,Internal,BHAKTABANDHU MAHANTA,Abhishek Panda,22-Aug-2023 12:12 PM,finsummary_434852.pdf (3080.92 KB),Finance,TWO NOS OF BIDDERS PARTICIPATED,Abhishek Panda,22-Aug-2023 11:55 AM,finance_434852.pdf,BOQ Comparative Chart,22-Aug-2023,"INR 1,090,000",90.0,Abhishek Panda,22-Aug-2023 12:19 PM,WORKSLNO9.pdf (363.00 KB),SANGRAM KESHARI MALIK AWARDED BEING A SC CATEGORY CONTRACTOR,AOC
,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITES,AOC,,,,,,,,,,,,,,,,2,2121598,SANGRAM KESHARI MALIK,25-Apr-2023 07:59 AM,Accepted-AOC,BEING SANGRAM KESHARI MALIK A SC CATEGORY CONTRACTOR,22-Aug-2023 12:23 PM,,,,,,,,,,,,,,,,,,,,AOC
