S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,CORRIGENDUM TENDER FEE,Fee,,Detail estimate for S/R to Maa Pendrani Kalyan Mandap Near Ram Mandir in Ward No 05,Civil Work,Please refer to Tender Documents ,NA ,,Civil Works - Buildings,NA ,Tender,270.0,90.0,Umerkote Municipality,764073.0,NA ,NA ,NA ,Umerkote Municipality,No ,No,Executive Officer,Umerkote Municipality,Municipal Bodies||Umerkote Municipality,EO-UKTM-04/2023-24(2),2023_ORULB_89183_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"27,600",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN,Regd Certificates,GSTIN,PAN etc..",23-May-2023 11:00 AM,09-Jun-2023 11:00 AM,23-May-2023 11:00 AM,06-Jun-2023 05:00 PM,NA ,NA ,23-May-2023 11:00 AM,06-Jun-2023 05:00 PM,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC,Smt. Radha Bhatra,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality J.E Umerkote Municipality Accountant Umerkote Municipality,RUSI MAJHI,09-Aug-2023 04:51 PM,finsummary_438609.pdf (46.28 KB),Finance,twelve numbers of bidder found in bidding....,RUSI MAJHI,10-Jun-2023 11:41 AM,,BOQ Comparative Chart,09-Aug-2023,"INR 2,337,203.275",90.0,RUSI MAJHI,09-Aug-2023 04:55 PM,commitee.pdf (46.00 KB),The contract for Detail estimate for S/R to Maa Pendrani Kalyan Mandap Near Ram Mandir in Ward No 05 being awarded to Mr. PRASANTA KUMAR PARIDA as L1 win by lottery system in bidding ....,1,2154907,ANJALI BISWAS,06-Jun-2023 06:17 AM,Rejected-Finance,as per tender committee decision,09-Aug-2023 04:51 PM,Municipal Bodies||Umerkote Municipality,2023_ORULB_89183_1,EO-UKTM-04/2023-24(2),Detail estimate for S/R to Maa Pendrani Kalyan Mandap Near Ram Mandir in Ward No 05,1.0,2155603.0,PRASANTA KUMAR PARIDA,INR,"1,986,856.504",Smt. Radha Bhatra,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality J.E Umerkote Municipality Accountant Umerkote Municipality,RUSI MAJHI,09-Aug-2023 04:43 PM,techsummary_438609.pdf (46.28 KB),AOC
2.0,CORRIGENDUM FOR CLASS OF BIDDERS,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,FINANCE BID(BOQ),,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2155132,ARUN KUMAR SETHY,06-Jun-2023 08:10 AM,Rejected-Finance,as per tender committee decision,09-Aug-2023 04:51 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2155422,Asipu Kumar Rao,06-Jun-2023 01:22 PM,Rejected-Finance,as per tender committee decision,09-Aug-2023 04:51 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2154817,DHARMA DURGA,05-Jun-2023 07:47 PM,Rejected-Finance,as per tender committee decision,09-Aug-2023 04:51 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2155332,JITENDRA KUMAR JENA,06-Jun-2023 01:36 PM,Rejected-Finance,as per tender committee decision,09-Aug-2023 04:51 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2154441,NILAMADHAB NAIK,05-Jun-2023 06:05 PM,Rejected-Finance,as per tender committee decision,09-Aug-2023 04:51 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2155173,Niranjan Mahapatra,06-Jun-2023 10:57 AM,Rejected-Finance,as per tender committee decision,09-Aug-2023 04:51 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2155748,PRADIPTA KUMAR SWAIN,06-Jun-2023 04:12 PM,Rejected-Finance,as per tender committee decision,09-Aug-2023 04:51 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2155603,PRASANTA KUMAR PARIDA,06-Jun-2023 02:20 PM,Accepted-AOC,L1 win by lottery system,09-Aug-2023 04:57 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2155740,PRASANT KUMAR SATAPATHY,06-Jun-2023 03:56 PM,Rejected-Finance,as per tender committee decision,09-Aug-2023 04:51 PM,,,,,,,,,,,,,,,,AOC
