S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,1853536.0,ANOJ KUMAR PATTANAIK,INR,"455,560",Finance,lottery,Maruvada Srinivas,19-Aug-2023 06:08 PM,finance_399557.pdf,BOQ Comparative Chart,Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,22-Aug-2023 05:20 PM,finsummary_399557.pdf (156.15 KB),Municipal Bodies||Hindol NAC,2022_ORULB_77859_30,HDL NAC-01/2022-23,Construction of CC road from PWD Road to Murali Jena House in ward No-12,Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,21-Aug-2023 05:48 PM,techsummary_399557.pdf (156.15 KB),22-Aug-2023,"INR 455,560",60.0,Maruvada Srinivas,22-Aug-2023 05:21 PM,30.pdf (106.00 KB),AOC,1,1853536,ANOJ KUMAR PATTANAIK,27-May-2022 01:32 PM,Accepted-AOC,L1,22-Aug-2023 05:21 PM,AOC,Construction of CC road from PWD Road to Murali Jena House in ward No-12,As per DTCN,Please refer Tender documents. ,NA ,"5,35,890",Civil Works - Others,NA ,Tender,120.0,60.0,HINDOL NAC,759022.0,NA ,NA ,NA ,HINDOL NAC,No ,No,1.0,ICICI BANK,23-May-2022 01:00 PM,03-Jun-2022 11:00 AM,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,NA ,NA ,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Municipal Bodies||Hindol NAC,HDL NAC-01/2022-23,2022_ORULB_77859_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,0.0,No,fixed,,Nil,Nil,EXECUTIVE OFFICER,HINDOL NAC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1859271,ASHOK KUMAR NAYAK,01-Jun-2022 10:53 AM,Rejected-Technical,Lottery,21-Aug-2023 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1855837,BABHRU PRASAD PATI,30-May-2022 12:45 PM,Rejected-Technical,Lottery,21-Aug-2023 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1856278,BIRANCHI MOHAPATRA,30-May-2022 03:56 PM,Rejected-Technical,Lottery,21-Aug-2023 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1859022,Gyanaranjan Amanta,01-Jun-2022 07:10 AM,Rejected-Technical,Lottery,21-Aug-2023 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1859588,Krishna Chandra Naik,01-Jun-2022 02:02 PM,Rejected-Technical,Lottery,21-Aug-2023 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1859345,MANOJA KUMAR BISWAL,01-Jun-2022 04:01 PM,Rejected-Technical,Lottery,21-Aug-2023 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1859156,Pradeep Kumar Behera,01-Jun-2022 02:06 AM,Rejected-Technical,Lottery,21-Aug-2023 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1856275,RASANANDA MUDULI,30-May-2022 03:48 PM,Rejected-Technical,Lottery,21-Aug-2023 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1858844,Sadananda Behera,31-May-2022 09:51 PM,Rejected-Technical,Lottery,21-Aug-2023 05:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
