S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Executive Officer,"Rajgangpur Municipality, Dist-Sundargarh","16,000",Yes,fixed,,Nil,Nil,17-May-2023 11:00 AM,29-May-2023 10:00 AM,17-May-2023 11:00 AM,28-May-2023 05:00 PM,NA ,NA ,17-May-2023 11:00 AM,28-May-2023 05:00 PM,Municipal Bodies||Rajgangpur Municipality,EO/RGP/01 of 2023-24,2023_ORULB_88991_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GST, PAN, Reg.-Renewal of Contractor license, Exp. and other document as per NIT","Improvement of road with Drain from Mohanty house towards Charan Purty house at Nayatoli, W.No.14","Improvement of road with Drain from Mohanty house towards Charan Purty house at Nayatoli, W.No.14",Please refer Tender documents ,NA ,"16,00,000",Civil Works - Others,paver block road and C.C. drain ,Tender,90.0,90.0,Rajgangpur Municipality Area,770017.0,NA ,NA ,NA ,Rajgangpur Municipality,No ,No,AOC,Municipal Bodies||Rajgangpur Municipality,2023_ORULB_88991_11,EO/RGP/01 of 2023-24,"Improvement of road with Drain from Mohanty house towards Charan Purty house at Nayatoli, W.No.14",Madhuri Lugun,Internal,,Gobinda Dansena,18-Aug-2023 03:45 PM,finsummary_437907.pdf (1292.53 KB),Finance,Sucessfully opened,Gobinda Dansena,17-Aug-2023 12:41 PM,,BOQ Comparative Chart,1.0,2148213.0,IFTEKHAR AHMED,INR,"1,600,000",23-Aug-2023,"INR 1,600,000",90.0,Gobinda Dansena,23-Aug-2023 12:43 PM,11.pdf (482.00 KB),1,2149111,AJIT TANTY,28-May-2023 02:14 PM,Rejected-AOC,rejected,23-Aug-2023 12:44 PM,Madhuri Lugun,Internal,,Gobinda Dansena,17-Aug-2023 04:35 PM,techsummary_437907.pdf (3353.29 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2148839,ALEKHA CHANDRA SAMAL,27-May-2023 11:10 PM,Rejected-AOC,rejected,23-Aug-2023 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2149100,BIPRA CHARAN NAYAK,28-May-2023 02:09 PM,Rejected-AOC,rejected,23-Aug-2023 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2148815,DAUD MINZ,27-May-2023 10:05 PM,Rejected-AOC,rejected,23-Aug-2023 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2148874,DIPAK KUMAR SAMAL,28-May-2023 08:31 AM,Rejected-AOC,rejected,23-Aug-2023 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2148850,GIRIJA PRASAD SAMAL,28-May-2023 05:49 AM,Rejected-AOC,rejected,23-Aug-2023 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2148213,IFTEKHAR AHMED,26-May-2023 10:08 PM,Accepted-AOC,Selected,23-Aug-2023 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2148281,PRATAP KERKETTA,27-May-2023 09:16 AM,Rejected-AOC,rejected,23-Aug-2023 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2149093,Reeta Lakra,28-May-2023 01:58 PM,Rejected-AOC,rejected,23-Aug-2023 12:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2147167,Rohit Xess,25-May-2023 11:35 PM,Rejected-AOC,rejected,23-Aug-2023 12:44 PM,,,,,,,AOC
