Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"Chief Construction Engineer CentralRWCircle,BBSR",Internal,SuperintendingEngineerrRWDivision Bhubaneswar SrDAORWDivision Nayagarh PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Priyadarshini Dalai,28-Apr-2023 07:26 PM,03-May-2023 11:00 AM,techsummary_430755.pdf (128.49 KB),CE RW I||RWCIRCLE-BHUBANESWAR,2023_CERWI_86806_1,Tender Online CC-09 of 2023,Construction of road from Dhajhola to Siarimala via.Pathara road under CMRL in the Dist. of Nayagarh for the year 2022-23,1.0,2102781.0,TARINI PRASAD DAS,INR,"32,085,819",1,2102436,AMRIT BARAL,22-Mar-2023 10:00 PM,Rejected-Finance,Other than winner,05-Aug-2023 01:53 PM,Technical,QUALIFIED AND DISQUALIFIED LIST,Priyadarshini Dalai,28-Apr-2023 07:20 PM,technical_430755.pdf,Finance,Tarini Prasad Das found successful in the transparent lottery system,Priyadarshini Dalai,05-Aug-2023 01:49 PM,finance_430755.pdf,BOQ Comparative Chart,05-Aug-2023,"INR 32,085,819",270.0,Priyadarshini Dalai,05-Aug-2023 01:58 PM,DhajholaAgmtDetails.pdf (1021.00 KB),"Work order letter no.2930 dtd.12.06.2023 and Agmt No.02 P1 of 2023-24 dtd.12.06.2023 of Superintending Engineer, Rural Works Division, Nayagarh.","Chief Construction Engineer CentralRWCircle,BBSR",Internal,SuperintendingEngineerrRWDivision Bhubaneswar SrDAORWDivision Nayagarh PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Priyadarshini Dalai,05-Aug-2023 01:53 PM,finsummary_430755.pdf (128.49 KB),AOC,Chief Construction Engineer,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",13-Mar-2023 09:00 AM,28-Mar-2023 11:00 AM,13-Mar-2023 09:00 AM,27-Mar-2023 05:00 PM,NA ,NA ,13-Mar-2023 09:00 AM,27-Mar-2023 05:00 PM,03-May-2023 11:00 AM,"10,000",0.0,Nil,Nil,No,1.0,"Due Date Extended - Due to some issues in accessing portals, all the tenders due for closing on 24-Mar-2023 have been extended by 24 hours as per System Malfunction Procedure. Inconvenience caused is deeply regretted.",Admin Corrigendum Date Extend,,Construction of road from Dhajhola to Siarimala via.Pathara road under CMRL in the Dist. of Nayagarh for the year 2022-23,Construction of road from Dhajhola to Siarimala via.Pathara road under CMRL in the Dist. of Nayagarh for the year 2022-23,Please refer Tender documents. ,NA ,"3,20,85,819",Civil Works - Roads,NA ,Tender,90.0,270.0,Nayagarh,752069.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, PAN, Registration Certificate",1.0,ICICI BANK,"3,20,858",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online CC-09 of 2023,2023_CERWI_86806_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,2102702,DAD CONSTRUCTION PRIVATE LIMITED,24-Mar-2023 04:11 PM,Rejected-Finance,Other than winner,05-Aug-2023 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,Date Corrigendum,Date,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2103104,DEBASHIS PATRA,24-Mar-2023 04:42 PM,Rejected-Finance,Other than winner,05-Aug-2023 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,3.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2102796,G.B.S CONSTRUCTIONS,23-Mar-2023 06:12 PM,Rejected-Technical,As per Clause No.2.1 (1) of the Eligibility Criteria of the General Instructions to Tenderers of the DTCN,28-Apr-2023 07:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2102588,Khadal Sethi,24-Mar-2023 03:39 PM,Rejected-Finance,Other than winner,05-Aug-2023 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2103036,MANOJ KUMAR SAHOO,24-Mar-2023 04:25 PM,Rejected-Finance,Other than winner,05-Aug-2023 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2102340,MATRUDATTA DAS,23-Mar-2023 11:02 PM,Rejected-Finance,Other than winner,05-Aug-2023 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2098602,NARENDRA PRADHAN,23-Mar-2023 10:59 AM,Rejected-Finance,Other than winner,05-Aug-2023 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2103069,Nitish Biswal,24-Mar-2023 04:23 PM,Rejected-Finance,Other than winner,05-Aug-2023 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2103055,PRAMOD KUMAR NAYAK,27-Mar-2023 11:51 AM,Rejected-Technical,As per Clause No.2.1 (5) of the Eligibility Criteria of the General Instructions to Tenderers of the DTCN,28-Apr-2023 07:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
