Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,000",0.0,Nil,Nil,No,RR of Road from Rabin Mitra House to Basanti Parida House in Ward No_08 under Balasore Municipality,RR of Road from Rabin Mitra House to Basanti Parida House in Ward No_08 under Balasore Municipality,Please refer Tender documents. ,NA ,"3,37,114",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Municipal Bodies||Balasore Municipality,BM_02_2023_24,2023_ORULB_88734_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"3,371",Yes,percentage,1.0%,Nil,Nil,08-May-2023 05:00 PM,22-May-2023 11:00 AM,08-May-2023 05:00 PM,20-May-2023 05:00 PM,NA ,NA ,08-May-2023 05:00 PM,20-May-2023 05:00 PM,"Executive Officer, Balasore Municipality",Balasore Municipality,AOC,1,2139463,Abhimanyu Patra,16-May-2023 10:24 AM,Rejected-Finance,L2,11-Aug-2023 04:54 PM,11-Aug-2023,"INR 397,795",60.0,Pranabananda Sahu,11-Aug-2023 04:56 PM,WO0223.pdf (318.00 KB),EO ME CP,Internal,,Pranabananda Sahu,11-Aug-2023 02:34 PM,techsummary_436924.pdf (451.23 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_88734_23,BM_02_2023_24,RR of Road from Rabin Mitra House to Basanti Parida House in Ward No_08 under Balasore Municipality,EO ME CP,Internal,,Pranabananda Sahu,11-Aug-2023 04:54 PM,finsummary_436924.pdf (451.23 KB),Finance,TENDER OPENED SUCCESSFULLY,Kunal Motiram Chavan,22-May-2023 05:17 PM,,BOQ Comparative Chart,1.0,2141635.0,Dillip Kumar Maity,INR,"337,114",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC,2,2141635,Dillip Kumar Maity,17-May-2023 06:59 PM,Accepted-AOC,wo,11-Aug-2023 04:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
