Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Additional Chief Engineer,Internal,"Additional Chief Engineer, Executive Engineer, D.A.O, Estimator, Asst S.E",Susanta Kumar Panda,24-Aug-2023 07:26 PM,finsummary_424020.pdf (444.63 KB),Technical,Bid Opening Summary,Susanta Kumar Panda,15-Feb-2023 01:29 PM,technical_424020.pdf,"Rural Water Supply and Sanitation||RWSS Circle Cuttack||EERWSS,Bhadrak",2023_RWSS_84979_4,EE RWSandS BDK 25 Dt-26.12.2022,Execution of clubbed up 01 no RPWS Schemes to village Gajipur under Tihidi Block,1.0,2057175.0,TAPAS KUMAR RAY,INR,"11,417,940",Finance,Technical Evaluation Report,Susanta Kumar Panda,15-Feb-2023 04:33 PM,finance_424020.pdf,BOQ Comparative Chart,24-Aug-2023,"INR 11,417,940",270.0,Susanta Kumar Panda,24-Aug-2023 07:27 PM,GAJIPUR-AOC.pdf (529.00 KB),AOC,1,2055740,CHANDRAKANT PRUSTY,20-Jan-2023 10:40 AM,Rejected-AOC,Rejected as L2 bidder,24-Aug-2023 07:28 PM,Additional Chief Engineer,Internal,"Additional Chief Engineer, Executive Engineer, D.A.O, Estimator, Asst S.E",Susanta Kumar Panda,15-Feb-2023 01:49 PM,15-Feb-2023 01:50 PM,techsummary_424020.pdf (1086.72 KB),AOC,Execution of clubbed up 01 no RPWS Schemes to village Gajipur under Tihidi Block,Execution of clubbed up 01 no RPWS Schemes to village Gajipur under Tihidi Block,Please refer Tender documents. ,NA ,"1,26,85,000",Civil Works - Water Works,NA ,Tender,180.0,270.0,village Gajipur under Tihidi Block,756100.0,NA ,NA ,NA ,O/o The Superintending Engineer RWSandS Division B,No ,No,"1,26,850",Yes,fixed,,Nil,Nil,Executive Engineer RWSandS Division Bhadrak,O/o The Superintending Engineer RWSandS Division Bhadrak,1.0,1st Corrigendum,Technical Bid,,1.0,ICICI BANK,06-Jan-2023 10:00 AM,20-Jan-2023 05:00 PM,06-Jan-2023 10:00 AM,20-Jan-2023 11:00 AM,06-Jan-2023 10:00 AM ,12-Jan-2023 11:00 AM ,06-Jan-2023 10:00 AM,20-Jan-2023 11:00 AM,15-Feb-2023 01:50 PM,"Rural Water Supply and Sanitation||RWSS Circle Cuttack||EERWSS,Bhadrak",EE RWSandS BDK 25 Dt-26.12.2022,2023_RWSS_84979_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, GSTIN, PAN card, Contractor registration certificate , Affidavit","10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2057256,Laxmidhar Mallik,20-Jan-2023 10:32 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2023 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work experience, ATO, Other document as per DTCN",,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2048706,Pranab Kumar Mohapatra,20-Jan-2023 09:03 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2023 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2057175,TAPAS KUMAR RAY,19-Jan-2023 10:26 PM,Accepted-AOC,The L1 bidder has submitted all the required documents for agreement in time,24-Aug-2023 07:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2057155,USHA INFRASTRUCTURE PROP- AVINASH SABALAKA,19-Jan-2023 11:34 PM,Rejected-AOC,Rejected as L2 bidder,24-Aug-2023 07:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
