S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,2169694.0,NIBAS PRADHAN,INR,"3,448,820",EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-V-BBSR,2023_EICCL_89849_1,TENDER CALL NOTICE NO.07 OF 2023-24,"S.R to OUTR College such as Renovation of Class Room to Smart Class Rooms of Room No.303,304, 305 and 306 of Electrical Engineering Department for the year 2023-24.",ERBPLENKAEE,Internal,ERTKMOHAPATRAAEESRIMKMANOJDAO,Bibhuprasad Lenka,31-Aug-2023 01:14 PM,techsummary_441122.pdf (2141.81 KB),Finance,TOTAL TWELVE NUMBERS BIDDER WERE PARTICIPATED IN THIS BID AND THEIR BIDS ARE VIEWED.,Purna Chandra Dalai,01-Jul-2023 12:07 PM,finance_441122.pdf,BOQ Comparative Chart,ERBPLENKAEE,Internal,ERTKMOHAPATRAAEESRIMKMANOJDAO,Bibhuprasad Lenka,31-Aug-2023 01:21 PM,finsummary_441122.pdf (2141.81 KB),31-Aug-2023,"INR 3,448,820",90.0,Bibhuprasad Lenka,31-Aug-2023 01:25 PM,AOC.pdf (1911.00 KB),AGREEMENT COPY UPLOAD,1,2169776,AKSHAYA KUMAR MALLIA,27-Jun-2023 02:12 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,31-Aug-2023 01:21 PM,AOC,EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-V-BBSR,TENDER CALL NOTICE NO.07 OF 2023-24,2023_EICCL_89849_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"40,570",Yes,percentage,1.0%,Nil,Nil,"S.R to OUTR College such as Renovation of Class Room to Smart Class Rooms of Room No.303,304, 305 and 306 of Electrical Engineering Department for the year 2023-24.","S.R to OUTR College such as Renovation of Class Room to Smart Class Rooms of Room No.303,304, 305 and 306 of Electrical Engineering Department for the year 2023-24.",Please refer Tender documents. ,NA ,"40,56,957",Civil Works - Buildings,NA ,Tender,90.0,90.0,Bhubaneswar,751001.0,NA ,NA ,NA ,"OFFICEOFTHES.E.BBSRRANDBDIVISIONNO.V,BBSR",No ,No,17-Jun-2023 05:00 PM,01-Jul-2023 11:30 AM,17-Jun-2023 05:00 PM,27-Jun-2023 05:00 PM,NA ,NA ,17-Jun-2023 05:00 PM,27-Jun-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"BID COST,RC, EMD PAN, GST ALL MACHINERIES, ALL AFFIDAVITS AS PER APPROVED DTCN",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"S.E.BBSRRANDBDIVISIONNO.V,BBSR","OFFICE OF THE SUPERINTENDING ENGINEER, BHUBANESWAR RANDB DIVISION NO.V, BHUBANESWAR",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2166438,ARUN KUMAR PANDA,23-Jun-2023 12:23 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,31-Aug-2023 01:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2166158,BIPIN BIHARI SUTAR,23-Jun-2023 11:19 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,31-Aug-2023 01:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2169802,BISWAJIT BHUYAN,27-Jun-2023 02:58 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,31-Aug-2023 01:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2169896,BISWOJIT PATTANAIK,27-Jun-2023 04:45 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,31-Aug-2023 01:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2169323,CHITTARANAJAN SARANGI,26-Jun-2023 07:21 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,31-Aug-2023 01:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2169871,EASTGROW TRADERS,27-Jun-2023 04:26 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,31-Aug-2023 01:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2169694,NIBAS PRADHAN,27-Jun-2023 01:23 PM,Accepted-AOC,WORK AWARDED,31-Aug-2023 01:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2169250,PRAKASH CHANDRA PANDA,26-Jun-2023 06:35 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,31-Aug-2023 01:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2169780,RAJESH KUMAR SHARMA,27-Jun-2023 02:14 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,31-Aug-2023 01:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
