Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Finance,lottery programme held on 6.5.23 at 10.00am,Narendra Kumar Sitha,04-May-2023 08:15 PM,,BOQ Comparative Chart,1.0,2120862.0,KULAMANI MAJHI,INR,"714,513","CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Boudh Irr Divn Boudh",2023_CEBMT_87398_21,e Procurement Notice No EE BOD 01/23-24,"Construction of C.C. Lining , de-silting and strengthening of canal bank in-between RD 4500m to 6500m of LMC of SIP.",executive engineer,Internal,,Narendra Kumar Sitha,10-May-2023 07:35 PM,finsummary_433241.pdf (127.07 KB),executive engineer,Internal,,Narendra Kumar Sitha,10-May-2023 12:38 PM,techsummary_433241.pdf (219.72 KB),18-May-2023,"INR 714,513",180.0,Narendra Kumar Sitha,06-Aug-2023 12:47 PM,21.pdf (581.00 KB),1,2117198,Balmiki Pradhan,20-Apr-2023 10:13 AM,Rejected-Finance,Not found 1st lowest bidder in the lottery programme,10-May-2023 07:35 PM,AOC,"8,500",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,"Construction of C.C. Lining , de-silting and strengthening of canal bank in-between RD 4500m to 6500m of LMC of SIP.","Construction of C.C. Lining , de-silting and strengthening of canal bank in-between RD 4500m to 6500m of LMC of SIP.",Please refer Tender documents. ,NA ,"8,50,000",Civil Works - Canal,NA ,Tender,90.0,180.0,"O/O EE , Boudh Irr Division, Boudh",762014.0,NA ,NA ,NA ,"O/O EE , Boudh Irr Division, Boudh",No ,No,11-Apr-2023 10:00 AM,25-Apr-2023 11:00 AM,11-Apr-2023 10:00 AM,24-Apr-2023 05:00 PM,NA ,NA ,11-Apr-2023 10:00 AM,24-Apr-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Executive engineer,"O/O EE , Boudh Irr Division, Boudh","CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Boudh Irr Divn Boudh",e Procurement Notice No EE BOD 01/23-24,2023_CEBMT_87398_21,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2121051,Braja Mohan Nayak,24-Apr-2023 02:01 PM,Rejected-Finance,Not found 1st lowest bidder in the lottery programme,10-May-2023 07:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2120862,KULAMANI MAJHI,24-Apr-2023 01:42 PM,Accepted-AOC,l1,06-Aug-2023 12:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER DOCUMENT , PAN , GSTIN, RC, EMD, NO RELATION CERTIFICATE AND AFFADEVIT",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2118454,MAHENDRA BEHERA,21-Apr-2023 11:07 PM,Rejected-Finance,Not found 1st lowest bidder in the lottery programme,10-May-2023 07:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2114843,Prasanta Prusty,24-Apr-2023 11:26 AM,Rejected-Finance,Not found 1st lowest bidder in the lottery programme,10-May-2023 07:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2119186,RAJESH KARNA,22-Apr-2023 06:49 PM,Rejected-Finance,Not found 1st lowest bidder in the lottery programme,10-May-2023 07:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2116766,RENUKA HOTA,21-Apr-2023 02:44 AM,Rejected-Finance,Not found 1st lowest bidder in the lottery programme,10-May-2023 07:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2118800,SANJEEB MEHER,22-Apr-2023 12:55 AM,Rejected-Finance,Not found 1st lowest bidder in the lottery programme,10-May-2023 07:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2119650,Shimanchal Pradhan,22-Apr-2023 09:18 PM,Rejected-Finance,Not found 1st lowest bidder in the lottery programme,10-May-2023 07:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
