S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Stage
1.0,2109367.0,KRUSHNA GOUDA,04-Apr-2023 01:01 PM,Accepted-AOC,The Tender is cancelled due to single tender,11-Aug-2023 10:47 AM,Finance,"Chairman, RMC, Gunupur, Secretary, RMC, Gunupur, Junior Engineer, OSAM Board, Accountant, RMC, Gunupur, Clerk, RMC, Gunupur",Prasant Kumar Panda,11-Apr-2023 10:06 AM,finance_432468.pdf,BOQ Comparative Chart,"Chairman, RMC, Gunupur",Internal,"Secretary, RMC, Junior Engineer, OSAM Board, Accountant, RMC, Clerk RMC",Prasant Kumar Panda,11-Apr-2023 10:12 AM,finsummary_432468.pdf (327.35 KB),06-Jun-2023,"INR 1,289,049",90.0,Lalit Kumar Kanhar,11-Aug-2023 10:46 AM,workorder.pdf (290.00 KB),As per DTCN it is a single tender so the tender is cancelled,"Chairman, RMC, Gunupur",External,"Secretary, RMC, Junior Engineer, OSAM Board, Accountant, RMC, Clerk, RMC, Gunupur",Prasant Kumar Panda,11-Apr-2023 10:08 AM,techsummary_432468.pdf (327.35 KB),1.0,2109367.0,KRUSHNA GOUDA,INR,"1,470,859",Odisha State Agricultural Marketing Board||RMC Gunupur,2023_OSAMB_87287_1,01/RMCGUNUPUR/2022-23,Construction of 05 Nos of Shop Room at Hato Muniguda,AOC,Odisha State Agricultural Marketing Board||RMC Gunupur,01/RMCGUNUPUR/2022-23,2023_OSAMB_87287_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"15,164",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,28-Mar-2023 10:00 AM,10-Apr-2023 11:00 AM,28-Mar-2023 10:00 AM,06-Apr-2023 05:00 PM,28-Mar-2023 10:00 AM ,03-Apr-2023 05:00 PM ,28-Mar-2023 10:00 AM,06-Apr-2023 05:00 PM,"6,000",Nil,Nil,No,Construction of 05 Nos of Shop Room at Hato Muniguda,Building Work,Please refer tender documents ,NA ,"15,16,350",Civil Works - Buildings,Civil Works Building ,Tender,90.0,90.0,Hato Muniguda,765022.0,NA ,NA ,NA ,"RMC, Gunupur",No ,No,1,ICICI BANK,"Sub Collector-cum-Chairman, RMC, Gunupur",jagannath temple road gunupur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"License, PAN, GSTN, Affidavit and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,AOC
