Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Construction of RCC drain from Aslam Khan house towards Mir Sahaji house at Nanghamohalla Main road side in Ward No.14,Construction of RCC drain from Aslam Khan house towards Mir Sahaji house at Nanghamohalla Main road side in Ward No.14,Please refer Tender documents. ,NA ,"3,22,651",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,Executive Officer,"Executive Officer, Bhadrak Municipality","2,000",0.0,Nil,Nil,No,"3,300",Yes,fixed,,Nil,Nil,11-Jul-2023 10:00 AM,21-Jul-2023 11:00 AM,11-Jul-2023 10:00 AM,20-Jul-2023 05:00 PM,NA ,NA ,11-Jul-2023 10:00 AM,20-Jul-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN",Municipal Bodies||Bhadrak Municipality,BM-BDK-06-2022-23,2023_ORULB_90496_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,AOC,24-Aug-2023,"INR 322,619",60.0,Pradip Kumar Saha,24-Aug-2023 07:25 PM,9.pdf (713.00 KB),work order issued,Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,24-Aug-2023 07:23 PM,finsummary_443466.pdf (236.72 KB),Finance,ok,Pradip Kumar Saha,21-Jul-2023 05:46 PM,,BOQ Comparative Chart,1,2181243,Dayanidhi Mohapatra,19-Jul-2023 03:48 PM,Accepted-AOC,QUoted first lowest,24-Aug-2023 07:26 PM,1.0,2181243.0,Dayanidhi Mohapatra,INR,"322,619",Municipal Bodies||Bhadrak Municipality,2023_ORULB_90496_9,BM-BDK-06-2022-23,Construction of RCC drain from Aslam Khan house towards Mir Sahaji house at Nanghamohalla Main road side in Ward No.14,Gulmaki Dalawzi,Internal,Details attached below,Pradip Kumar Saha,24-Aug-2023 02:04 PM,techsummary_443466.pdf (236.72 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,2,2181126,Dinesh Mohapatra,19-Jul-2023 03:49 PM,Rejected-AOC,QUoted second lowest,24-Aug-2023 07:26 PM,,,,,,,,,,,,,,,,AOC
