Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Finance,six bidders are participated,Dillip Kumar Mohanty,04-Apr-2023 04:50 PM,finance_430734.pdf,BOQ Comparative Chart,1.0,2104511.0,PRAMOD KUMAR BALIARSINGH,INR,"360,130",Municipal Bodies||Jatni Municipal Council,2023_ORULB_86761_34,EO/JMC/065/2022-23,"Construction of Road near Fly-ash Brick industr site road( MCC) , W.No.-9",chairperson,Internal,eo aee je,Dillip Kumar Mohanty,07-Aug-2023 04:09 PM,finsummary_430734.pdf (450.18 KB),chairperson,Internal,eo aee je,Dillip Kumar Mohanty,07-Aug-2023 04:04 PM,techsummary_430734.pdf (450.18 KB),1,2104163,BIJAY KUMAR SETHI,26-Mar-2023 07:10 PM,Rejected-Finance,lottery,07-Aug-2023 04:09 PM,07-Aug-2023,"INR 360,130",30.0,Dillip Kumar Mohanty,07-Aug-2023 04:10 PM,3487.pdf (450.00 KB),AOC,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Jatni Municipal Council,EO/JMC/065/2022-23,2023_ORULB_86761_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,LICENCE PAN GST AFFIDAVIT ETC AS PER DTCN,"5,000",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"Construction of Road near Fly-ash Brick industr site road( MCC) , W.No.-9","Construction of Road near Fly-ash Brick industr site road( MCC) , W.No.-9",Please refer Tender documents. ,NA ,"5,00,000",Civil Works - Others,NA ,Tender,30.0,30.0,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",752050.0,NA ,NA ,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",No ,No,09-Mar-2023 05:00 PM,29-Mar-2023 11:00 AM,09-Mar-2023 05:00 PM,28-Mar-2023 05:00 PM,NA ,NA ,09-Mar-2023 05:00 PM,28-Mar-2023 05:00 PM,"EXECUTIVE OFFICER,JATNI MUNICIPALITY","EXECUTIVE OFFICER,JATNI MUNICIPALITY",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2103395,GOURANGA BALIARSINGH,25-Mar-2023 09:07 AM,Rejected-Finance,lottery,07-Aug-2023 04:09 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2105302,M/s RANJIT KUMAR KHUNTIA,28-Mar-2023 12:05 AM,Rejected-Finance,lottery,07-Aug-2023 04:09 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2104511,PRAMOD KUMAR BALIARSINGH,27-Mar-2023 07:57 PM,Accepted-AOC,work orde rissued,07-Aug-2023 04:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2104389,SUBHESCHHU PRADHAN,26-Mar-2023 10:11 PM,Rejected-Finance,lottery,07-Aug-2023 04:09 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2105227,SUNIL KUMAR PAIKARAY,27-Mar-2023 09:04 PM,Rejected-Finance,lottery,07-Aug-2023 04:09 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
