Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"VALID CDMS,GST,PAN,REG CERTIFICATE, NO RELATION,AFFIDEFIT, OTHER DOCUMENT AS DTCN",Renovation of Golagaon MIP in Odagaon Block of Nayagarh district under RRR grant for the year 2023-24.,Renovation of Golagaon MIP in Odagaon Block of Nayagarh district under RRR grant for the year 2023-24.,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,180.0,"S.E M.I.Division, Nayagarh",752070.0,NA ,NA ,NA ,"S.E M.I.Division, Nayagarh",No ,No,24-May-2023 10:00 AM,31-May-2023 11:00 AM,24-May-2023 10:00 AM,30-May-2023 05:00 PM,NA ,NA ,24-May-2023 10:00 AM,30-May-2023 05:00 PM,"29,440",Yes,fixed,,Nil,Nil,"S.E M.I.Division, Nayagarh","S.E M.I.Division, Nayagarh","CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||EE MI Divn. Nayagarh",BID IDENTIFICATION NO_SEMIDN_03_OF2023_24.,2023_CEMIB_89226_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"SE M I DIVISION,NGRH",Internal,"DAO,AEE-ESTR",NIBEDITA NATH,05-Jun-2023 07:44 PM,techsummary_438824.pdf (288.89 KB),1.0,2150967.0,ENCOMS PRIVATE LIMITED,INR,"2,502,455.62","CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||EE MI Divn. Nayagarh",2023_CEMIB_89226_2,BID IDENTIFICATION NO_SEMIDN_03_OF2023_24.,Renovation of Golagaon MIP in Odagaon Block of Nayagarh district under RRR grant for the year 2023-24.,1,2151046,AMIT KUMAR PRUSTY,30-May-2023 03:13 PM,Rejected-AOC,Unsuccessful as L2 bidder.,04-Aug-2023 05:22 PM,"SE M I DIVISION,NGRH",Internal,"DAO,AEE-ESTR",NIBEDITA NATH,05-Jun-2023 07:48 PM,finsummary_438824.pdf (288.89 KB),Finance,cs,NIBEDITA NATH,05-Jun-2023 07:42 PM,,BOQ Comparative Chart,03-Aug-2023,"INR 2,502,455.62",180.0,Manoj Kumar Patnaik,04-Aug-2023 05:18 PM,2_Golagaon.pdf (453.00 KB),AOC,AOC
,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2150820,AMIT KUMAR SAHOO,30-May-2023 11:12 AM,Rejected-AOC,Unsuccessful as L2 bidder.,04-Aug-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2150993,BIRANCHI NARAYAN PRADHAN,30-May-2023 01:48 PM,Rejected-AOC,Unsuccessful as L2 bidder.,04-Aug-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2150932,BISWAJIT BEHERA,30-May-2023 12:36 PM,Rejected-AOC,Unsuccessful as L2 bidder.,04-Aug-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2150845,BISWA RANJAN PRADHAN,30-May-2023 12:58 PM,Rejected-AOC,Unsuccessful as L2 bidder.,04-Aug-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2150706,D ANIL KUMAR DORA,29-May-2023 08:15 PM,Rejected-Technical,Not applied EMD exemption,05-Jun-2023 07:44 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2150630,Debadatta Meher,29-May-2023 05:54 PM,Rejected-AOC,Unsuccessful as L2 bidder.,04-Aug-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2150967,ENCOMS PRIVATE LIMITED,30-May-2023 01:30 PM,Accepted-AOC,Successful during Transparent Lottery.,04-Aug-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2150969,GHANA SHYAMA PALEI,30-May-2023 02:56 PM,Rejected-AOC,Unsuccessful as L2 bidder.,04-Aug-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2151093,JITENDRA KUMAR DASH,30-May-2023 04:37 PM,Rejected-AOC,Unsuccessful as L2 bidder.,04-Aug-2023 05:22 PM,,,,,,,,,,,,,,,,,,,,AOC
