S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2120980.0,DAMODAR MAHAKUR,INR,"717,019",Finance,Open Successfully,PRABHAS KUMAR RATH,06-May-2023 04:01 PM,finance_434292.pdf,BOQ Comparative Chart,"Superintending Engineer, Barpali Irrigation Division, Barpali.",Internal,"Estimator (AEE), Divisional Account Officer, Superintending Engineer.",PRABHAS KUMAR RATH,06-Jun-2023 10:32 AM,finsummary_434292.pdf (142.55 KB),"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Barpali Canal Division Barpali",2023_CEBBU_87887_35,BIDT 01 TO 44 2023-24,Improvement to Water course (Right) offtaking at RD 1.80 km of Pandrapali Distributary under Lump Critical for the year 2023-24.,"Superintending Engineer, Barpali Irrigation Division, Barpali.",Internal,"A.E.E. Estimator, D.A.O, Superintending Engineer.",PRABHAS KUMAR RATH,06-May-2023 04:45 PM,techsummary_434292.pdf (142.54 KB),1,2120980,DAMODAR MAHAKUR,27-Apr-2023 03:46 PM,Accepted-AOC,Work Order,05-Aug-2023 05:51 PM,06-Jun-2023,"INR 843,453",45.0,PRABHAS KUMAR RATH,05-Aug-2023 05:51 PM,35.pdf (144.00 KB),Work Order,AOC,"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Barpali Canal Division Barpali",BIDT 01 TO 44 2023-24,2023_CEBBU_87887_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE,BARPALI IRR.DIVISION.BARPALI","O/o SE,BARPALI IRR.DIVISION.BARPAL",Improvement to Water course (Right) offtaking at RD 1.80 km of Pandrapali Distributary under Lump Critical for the year 2023-24.,Improvement to Water course (Right) offtaking at RD 1.80 km of Pandrapali Distributary under Lump Critical for the year 2023-24.,Please refer Tender documents. ,NA ,"8,43,452",Civil Works - Canal,NA ,Tender,90.0,45.0,BARPALI,768029.0,NA ,NA ,NA ,"O/o SE,BARPALI IRR.DIVISION.BARPALI",No ,No,17-Apr-2023 11:00 AM,28-Apr-2023 11:00 AM,17-Apr-2023 11:00 AM,27-Apr-2023 05:00 PM,NA ,NA ,17-Apr-2023 11:00 AM,27-Apr-2023 05:00 PM,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"9,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2124413,GODABARI PRADHAN,27-Apr-2023 01:19 PM,Rejected-Finance,Unsuccessful in Lottery,06-Jun-2023 10:32 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"BID FEE,EMD,RC,PAN,GSTIN,AFFIDAVITS ETC AND OTHER DOCUMENT AS PER DTCN.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2118937,JEEVARDHAN NAIK,25-Apr-2023 08:48 PM,Rejected-Finance,Unsuccessful in Lottery,06-Jun-2023 10:32 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2118263,Monalisa Hota,21-Apr-2023 09:20 PM,Rejected-Finance,Unsuccessful in Lottery,06-Jun-2023 10:32 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2121872,Saswat Kumar Mishra,27-Apr-2023 11:15 AM,Rejected-Finance,Unsuccessful in Lottery,06-Jun-2023 10:32 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
