S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage
1.0,2107298.0,SANAT KUMAR GHOSE,INR,"31,776,013",Technical,05 Nos bidders participated,Ashwani Pradhan,06-May-2023 01:58 PM,,CE RW I||RWCIRCLE-BARIPADA,2023_CERWI_87074_11,Road Online N.C.B. No-270,Construction of Road from RD Road to Kaima via Ratila Road under CMRL in the District of Mayurbhanj for the year 2022-23.,CCE RWC Baripada,Internal,,Ashwani Pradhan,25-Aug-2023 08:25 PM,finsummary_431540.pdf (910.92 KB),"CCE RW Circle, Baripada",Internal,,Ashwani Pradhan,06-May-2023 02:24 PM,15-May-2023 01:00 PM,techsummary_431540.pdf (869.84 KB),Finance,05 Nos Bidder admitted,Ashwani Pradhan,25-Aug-2023 08:03 PM,,BOQ Comparative Chart,1,2108791,KIRAN KUMAR DAS,09-Apr-2023 11:28 PM,Rejected-AOC,L1,25-Aug-2023 08:27 PM,25-Aug-2023,"INR 31,776,013",273.0,Ashwani Pradhan,25-Aug-2023 08:26 PM,Kaima.pdf (2049.00 KB),AOC,Construction of Road from RD Road to Kaima via Ratila Road under CMRL in the District of Mayurbhanj for the year 2022-23.,Construction of Road from RD Road to Kaima via Ratila Road under CMRL in the District of Mayurbhanj for the year 2022-23.,Please refer Tender documents. ,NA ,"3,73,80,000",Civil Works - Roads,NA ,Tender,90.0,273.0,"SERW Division, Baripada",757105.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,20-Mar-2023 09:00 AM,11-Apr-2023 11:00 AM,20-Mar-2023 09:00 AM,10-Apr-2023 05:00 PM,20-Mar-2023 09:00 AM ,06-Apr-2023 05:00 PM ,20-Mar-2023 09:00 AM,10-Apr-2023 05:00 PM,15-May-2023 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",CCE RWC Baripada,CCE RWC Baripada,"3,73,800",Yes,percentage,1.0%,Nil,Nil,1.0,Date,Date,,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-270,2023_CERWI_87074_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2107298,SANAT KUMAR GHOSE,31-Mar-2023 08:11 PM,Accepted-AOC,L1,25-Aug-2023 08:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2110764,SANKAR KAR,10-Apr-2023 03:37 PM,Rejected-AOC,L1,25-Aug-2023 08:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2102299,SUMAN KUMAR SAHU,31-Mar-2023 06:03 PM,Rejected-AOC,L2,25-Aug-2023 08:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2108694,TARUN MOHANTY,10-Apr-2023 02:16 PM,Rejected-AOC,L1,25-Aug-2023 08:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
