S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,ICICI BANK,Construction of Bridge over Baniapasara Nallah on Gendagadia to Parasbadi road in the District of Mayurbhanj under B.S.Y.,Construction of Bridge over Baniapasara Nallah on Gendagadia to Parasbadi road in the District of Mayurbhanj under B.S.Y.,Please refer Tender documents. ,NA ,"3,05,99,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,"SERW Division, Baripada",757105.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,CCE RWC Baripada,CCE RWC Baripada,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",CE RW I||RWCIRCLE-BARIPADA,Bridge Online N.C.B. No-278 Bridge work,2023_CERWI_88189_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,20-Apr-2023 01:00 PM,08-May-2023 11:00 AM,20-Apr-2023 01:00 PM,06-May-2023 05:00 PM,20-Apr-2023 01:00 PM ,04-May-2023 05:00 PM ,20-Apr-2023 01:00 PM,06-May-2023 05:00 PM,26-May-2023 01:00 PM,"3,05,990",Yes,percentage,1.0%,Nil,Nil,AOC,"CCE RW Circle, Baripada",Internal,,Ashwani Pradhan,23-May-2023 02:13 PM,26-May-2023 01:00 PM,techsummary_435105.pdf (283.32 KB),CE RW I||RWCIRCLE-BARIPADA,2023_CERWI_88189_1,Bridge Online N.C.B. No-278 Bridge work,Construction of Bridge over Baniapasara Nallah on Gendagadia to Parasbadi road in the District of Mayurbhanj under B.S.Y.,1.0,2131430.0,BISWA RANJAN PANDA,INR,"30,454,850",Technical,02 Nos bidders participated,Ashwani Pradhan,23-May-2023 02:03 PM,,1.0,2131430.0,BISWA RANJAN PANDA,06-May-2023 11:18 AM,Accepted-AOC,L1,18-Aug-2023 07:45 PM,Finance,01 No bidder admitted,Ashwani Pradhan,06-Jul-2023 05:50 PM,,BOQ Comparative Chart,02-Aug-2023,"INR 30,454,850",365.0,Ashwani Pradhan,18-Aug-2023 07:44 PM,Baniapasara.pdf (67.00 KB),CCE RWC Baripada,Internal,,Ashwani Pradhan,06-Jul-2023 05:53 PM,finsummary_435105.pdf (253.25 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,2129954.0,SRI RAJAT KUMAR BISWAL,04-May-2023 01:08 PM,Rejected-Technical,Insufficient similar nature of work experience,23-May-2023 02:13 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
