Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Supply of Furniture to Jhilling Mines under Barbil Region,Supply of Furniture to Jhilling Mines under Barbil Region,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,90.0,30.0,Jhilling Mines under Barbil Region,758034.0,NA ,NA ,NA ,"OMC Ltd., OMC House, Bhubaneswar",No ,No,Orissa Mining Corporation,"OMC/EPROC/CP/60/2023, dated 04/03/2023",2023_OMC_86733_1,Yes,Limited,Item Rate,Goods,2.0,No,No,Online,No,No,No,"40,000",Yes,fixed,,Nil,Nil,1.0,Corrigendum 1,Date,,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN and other documents as per DTCN",GM(Contract and Procurement),"OMC Ltd., OMC House, Bhubaneswar",0.0,0.0,Nil,Nil,No,04-Mar-2023 06:00 PM,23-Mar-2023 04:30 PM,04-Mar-2023 06:00 PM,23-Mar-2023 03:00 PM,04-Mar-2023 06:00 PM ,09-Mar-2023 05:00 PM ,04-Mar-2023 06:00 PM,23-Mar-2023 03:00 PM,03-Apr-2023 04:00 PM,1.0,ICICI BANK,AOC,1.0,2100392.0,DEBASIS SRICHANDAN,INR,"2,023,700",AGM(Finance),Internal,"DGM(Mech),Manager(PersnlLegal,Asst.Manager(LP)",Pankaj Murmu,17-Aug-2023 10:54 AM,finsummary_430529.pdf (755.90 KB),Technical,Technical opening summary,Pankaj Murmu,23-Mar-2023 05:53 PM,technical_430529.pdf,AGM(Finance),Internal,"DGM(Mech), Manager(Persnl) Legal, AM(LP)",Pankaj Murmu,03-Apr-2023 03:32 PM,03-Apr-2023 04:00 PM,techsummary_430529.pdf (517.73 KB),1,2102503,ASK CONSTRUCTION,23-Mar-2023 11:12 AM,Rejected-Finance,Other than L1,17-Aug-2023 10:54 AM,Finance,Financial opening summary,Pankaj Murmu,03-Apr-2023 04:54 PM,finance_430529.pdf,BOQ Comparative Chart,Orissa Mining Corporation,2023_OMC_86733_1,"OMC/EPROC/CP/60/2023, dated 04/03/2023",Supply of Furniture to Jhilling Mines under Barbil Region,17-Aug-2023,"INR 2,023,700",30.0,Pankaj Murmu,17-Aug-2023 11:05 AM,LOA-FurnitureJilling.pdf (514.00 KB),Awarded for the work including GST,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,2100392,DEBASIS SRICHANDAN,21-Mar-2023 04:59 PM,Accepted-AOC,Awarded for the work including GST,17-Aug-2023 11:06 AM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3,2102500,M.N. ENGINEERING,23-Mar-2023 11:47 AM,Rejected-Finance,Other than L1,17-Aug-2023 10:54 AM,,,,,,,,,,,,,,,,,,AOC
