Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"Rural Water Supply and Sanitation||RWSS Circle Cuttack||EERWSS,Bhadrak",2023_RWSS_84979_3,EE RWSandS BDK 25 Dt-26.12.2022,Execution of clubbed up 01 no RPWS Schemes to village Singada under Bhadrak Block,Technical,Bid Opening Summary,Susanta Kumar Panda,15-Feb-2023 01:24 PM,technical_424019.pdf,Executive Engineer,Internal,"Executive Engineer, DAO, AEE, Estimator, JE Estimator",Susanta Kumar Panda,24-Aug-2023 07:16 PM,finsummary_424019.pdf (432.16 KB),24-Aug-2023,"INR 10,674,675",270.0,Susanta Kumar Panda,24-Aug-2023 07:19 PM,SINGADA-AOC.pdf (577.00 KB),AOC,Finance,Technical Evaluation Report,Susanta Kumar Panda,15-Feb-2023 04:18 PM,finance_424019.pdf,BOQ Comparative Chart,1.0,2057180.0,TAPAS KUMAR RAY,INR,"10,674,675",Additional Chief Engineer,Internal,"Additional Chief Engineer, Executive Engineer, D.A.O, Estimator, Asst S.E",Susanta Kumar Panda,15-Feb-2023 01:47 PM,15-Feb-2023 01:50 PM,techsummary_424019.pdf (1086.72 KB),1,2057055,ABHINANDAN MOHANTY,20-Jan-2023 07:38 AM,Rejected-AOC,Rejected as L2 bidder,24-Aug-2023 07:20 PM,AOC,1.0,1st Corrigendum,Technical Bid,,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, GSTIN, PAN card, Contractor registration certificate , Affidavit",1.0,ICICI BANK,Execution of clubbed up 01 no RPWS Schemes to village Singada under Bhadrak Block,Execution of clubbed up 01 no RPWS Schemes to village Singada under Bhadrak Block,Please refer Tender documents. ,NA ,"1,25,56,000",Civil Works - Water Works,NA ,Tender,180.0,270.0,Singada under Bhadrak Block,756100.0,NA ,NA ,NA ,O/o The Superintending Engineer RWSandS Division B,No ,No,Executive Engineer RWSandS Division Bhadrak,O/o The Superintending Engineer RWSandS Division Bhadrak,"Rural Water Supply and Sanitation||RWSS Circle Cuttack||EERWSS,Bhadrak",EE RWSandS BDK 25 Dt-26.12.2022,2023_RWSS_84979_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,06-Jan-2023 10:00 AM,20-Jan-2023 05:00 PM,06-Jan-2023 10:00 AM,20-Jan-2023 11:00 AM,06-Jan-2023 10:00 AM ,12-Jan-2023 11:00 AM ,06-Jan-2023 10:00 AM,20-Jan-2023 11:00 AM,15-Feb-2023 01:50 PM,"1,25,560",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2055729,CHANDRAKANT PRUSTY,20-Jan-2023 10:40 AM,Rejected-AOC,Rejected as L2 bidder,24-Aug-2023 07:20 PM,AOC,,,,,,,,,,,,.pdf,"Work experience, ATO, Other document as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2057162,SOHAM CONSTRUCTION,19-Jan-2023 10:04 PM,Rejected-AOC,Rejected as L2 bidder,24-Aug-2023 07:20 PM,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2057180,TAPAS KUMAR RAY,19-Jan-2023 10:10 PM,Accepted-AOC,The L1 bidder has submitted all the required documents for agreement in time,24-Aug-2023 07:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2057156,USHA INFRASTRUCTURE PROP- AVINASH SABALAKA,19-Jan-2023 11:29 PM,Rejected-AOC,Rejected as L2 bidder,24-Aug-2023 07:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
