Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Project Administrator, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj",1.0,Fee/PreQual/Technical/Finance,.pdf,Tender documents,"6,000",0.0,Nil,Nil,No,21-Apr-2023 10:00 AM,06-May-2023 10:30 AM,21-Apr-2023 10:00 AM,04-May-2023 01:00 PM,NA ,NA ,21-Apr-2023 10:00 AM,04-May-2023 01:00 PM,"Construction of One no. new additional class room (Ground Floor) of 5T College Transformation at Mahila Mahavidyalaya, Rairangpur under Rairangpur Municipality.","Construction of One no. new additional class room (Ground Floor) of 5T College Transformation at Mahila Mahavidyalaya, Rairangpur under Rairangpur Municipality.",As per tender documents. ,NA ,"13,91,983",Civil Works - Buildings,NA ,Tender,90.0,180.0,Rairangpur,757043.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,ST and SC Development Deptt||ITDA Rairangpur,01/2023-24 of ITDA Rairangpur,2023_STSCD_88153_32,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"13,920",Yes,percentage,1.0%,Nil,Nil,AOC,06-Aug-2023,"INR 1,183,324.86",180.0,Apurba Kumar Patra,06-Aug-2023 07:49 PM,AOCsummary.pdf (1459.00 KB),"Adarsha Mohapatra C Class Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",1,2129533,ADARSHA MOHAPATRA,03-May-2023 09:22 PM,Accepted-AOC,Lottery Winner L1,06-Aug-2023 07:50 PM,Parikshita Dash,Internal,BasudevPrasadSahuAERBRRPSantoshKumarNayakAEEITDARRPApurbaKumarPatraAERameswarSethyAESureshKumarMajhiSRA,Apurba Kumar Patra,06-Aug-2023 07:44 PM,techsummary_435155.pdf (621.48 KB),Parikshita Dash,Internal,BasudevPrasadSahuAERBRRPSantoshKumarNayakAEEITDARRPApurbaKumarPatraAERameswarSethyAESureshKumarMajhiSRA,Apurba Kumar Patra,06-Aug-2023 07:48 PM,finsummary_435155.pdf (621.48 KB),ST and SC Development Deptt||ITDA Rairangpur,2023_STSCD_88153_32,01/2023-24 of ITDA Rairangpur,"Construction of One no. new additional class room (Ground Floor) of 5T College Transformation at Mahila Mahavidyalaya, Rairangpur under Rairangpur Municipality.",1.0,2129533.0,ADARSHA MOHAPATRA,INR,"1,183,324.86",Finance,All the bidders of Work SI. No.32 of Bid Identification No. 01/2023-24 are provisionally admitted for overall evaluation process.,Trilochan Ojha,09-May-2023 09:42 AM,finance_435155.pdf,BOQ Comparative Chart,AOC
,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,2,2127889,AVISEK SHAW,01-May-2023 09:28 PM,Rejected-AOC,L1,06-Aug-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2129397,SACHIDANANDA SHIT,03-May-2023 06:32 PM,Rejected-AOC,L1,06-Aug-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2129266,SASMITA RAM,03-May-2023 04:39 PM,Rejected-AOC,L1,06-Aug-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2129933,SMMT. TINIRANI DASH,04-May-2023 12:49 PM,Rejected-AOC,L1,06-Aug-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2126733,SWARUP CHANDRA BEHERA,29-Apr-2023 04:47 PM,Rejected-AOC,L1,06-Aug-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
