Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,2023_EICCL_90340_4,SE/R AND B/ SNPR / 06 / 2023-24,Construction of Revenue Quarter C Type for ADM I at Sonepur for the year 2023-24,1.0,2174713.0,SAMBHU PRASAD AGRAWALLA,INR,"6,252,180.2","D. Kaibartta, SE",Internal,"M. Singh, DAO, B. Das, AE (Estimator)",Damodar Kaibartta,27-Jul-2023 11:03 AM,27-Jul-2023 11:10 AM,techsummary_442790.pdf (196.99 KB),31-Aug-2023,"INR 6,252,180.2",180.0,Manjit Singh,31-Aug-2023 11:48 AM,w.pdf (195.00 KB),Work Order,"D. Kaibartta, SE",Internal,"M. Singh, DAO, B. Das, AE (Estimator)",Manjit Singh,31-Aug-2023 11:44 AM,finsummary_442790.pdf (33.25 KB),1,2178073,ABHINABA MAHAPATRA,15-Jul-2023 11:35 AM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:48 AM,Technical,8 nos. bidders are participate and all are admitted,Damodar Kaibartta,20-Jul-2023 01:12 PM,technical_442790.pdf,Finance,8 Nos. bidders are participate and all are accepted,Damodar Kaibartta,27-Jul-2023 12:20 PM,,BOQ Comparative Chart,AOC,"73,600",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,SE/R AND B/ SNPR / 06 / 2023-24,2023_EICCL_90340_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost (Online), EMD (online), GST Certificate, PAN Contractor RC",05-Jul-2023 10:00 AM,20-Jul-2023 11:30 AM,05-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,05-Jul-2023 10:00 AM ,18-Jul-2023 05:00 PM ,05-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,27-Jul-2023 11:10 AM,"10,000",0.0,Nil,Nil,No,Construction of Revenue Quarter C Type for ADM I at Sonepur for the year 2023-24,Construction of Revenue Quarter C Type for ADM I at Sonepur for the year 2023-24,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,180.0,Sonepur,767017.0,"O/O SE (RandB) Division, Sonepur ","O/O SE (RandB) Division, Sonepur ",17-Jul-2023 11:00 AM ,"O/O SE (RandB) Division, Sonepur",No ,No,Superintending Engineer,"O/O SE (RandB) Division, Sonepur",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2179808,BAMADEB DUDUKA,18-Jul-2023 01:07 PM,Rejected-Finance,Rejected from 2nd Lowest Biddders,31-Aug-2023 11:44 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD / DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2179709,RAJAT KUMAR AGRAWAL,19-Jul-2023 12:00 PM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2180776,RANAJITA PADHI,19-Jul-2023 03:50 PM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2181141,Sagarika Mahapatra,19-Jul-2023 02:51 PM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2174713,SAMBHU PRASAD AGRAWALLA,18-Jul-2023 08:47 PM,Accepted-AOC,Awarded for lottery system,31-Aug-2023 11:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2180541,SIDDHARTHA SHANKAR PADHI,19-Jul-2023 02:44 PM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2180813,SRIKANTA PRADHAN,19-Jul-2023 12:14 PM,Rejected-AOC,Rejected for lottery system,31-Aug-2023 11:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
