S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,01-Jun-2023 10:00 AM,13-Jun-2023 10:00 AM,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,NA ,NA ,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","16,948",Yes,fixed,,Nil,Nil,improvement road (BT Road) and repair of drain from Trinath Mandir to Malsu Kiran Store at Sambhu nagar pada in Ward No.15,improvement road (BT Road) and repair of drain from Trinath Mandir to Malsu Kiran Store at Sambhu nagar pada in Ward No.15,Please refer Tender documents. ,NA ,"16,94,826",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Bhawanipatna Municipality,BPM/02/2023-24,2023_ORULB_89441_136,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CP,Internal,"JE,ME,EO,STO,CP",Chinmaya Kumar Nayak,30-Aug-2023 06:46 PM,finsummary_439828.pdf (2452.55 KB),CP,Internal,"JE,ME,EO,CP",Chinmaya Kumar Nayak,16-Jul-2023 08:23 PM,techsummary_439828.pdf (2452.55 KB),30-Aug-2023,"INR 1,694,850.97",30.0,Chinmaya Kumar Nayak,30-Aug-2023 06:47 PM,TENDERPROCEEDING.pdf (2453.00 KB),AWARDED,1,2159454,Anubhab Mishra,12-Jun-2023 03:26 PM,Rejected-Finance,L2,30-Aug-2023 06:46 PM,Municipal Bodies||Bhawanipatna Municipality,2023_ORULB_89441_136,BPM/02/2023-24,improvement road (BT Road) and repair of drain from Trinath Mandir to Malsu Kiran Store at Sambhu nagar pada in Ward No.15,1.0,2159426.0,MANOJ KUMAR PATRA,INR,"1,694,850.97",Finance,ACCEPTED,Chinmaya Kumar Nayak,16-Jul-2023 01:37 PM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2159426,MANOJ KUMAR PATRA,12-Jun-2023 03:13 PM,Accepted-AOC,AWARDED,30-Aug-2023 06:47 PM,,,,,,,,,,,,,,,,AOC
