S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2162339.0,SUJIT KUMAR JENA,INR,"13,855,391",AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,04-Aug-2023 11:53 AM,finsummary_440129.pdf (284.56 KB),Technical,3 NOS. OF BIDDERS HAVE PARTICIPATED,Bikram Keshari Malla,22-Jun-2023 12:31 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_89612_11,11/OPHWC/2023-24,"Constn. of 6 Nos. E type Qtr. at OSAP 7th Bn. Bhubaneswar, Khurda",Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,11-Jul-2023 11:35 AM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,10-Jul-2023 07:12 PM,11-Jul-2023 11:00 AM,techsummary_440129.pdf (104.01 KB),04-Aug-2023,"INR 13,855,391",360.0,Bikram Keshari Malla,04-Aug-2023 11:54 AM,WORKD.pdf (373.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 02.08.2023,1,2162339,SUJIT KUMAR JENA,17-Jun-2023 04:35 PM,Accepted-AOC,QUALIFIED BIDDER,04-Aug-2023 11:55 AM,AOC,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",05-Jun-2023 06:55 PM,21-Jun-2023 11:00 AM,05-Jun-2023 06:55 PM,19-Jun-2023 05:00 PM,05-Jun-2023 06:55 PM ,08-Jun-2023 05:00 PM ,05-Jun-2023 06:55 PM,19-Jun-2023 05:00 PM,11-Jul-2023 11:00 AM,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"Constn. of 6 Nos. E type Qtr. at OSAP 7th Bn. Bhubaneswar, Khurda",Building Work,Please refer Tender documents  ,NA ,"1,54,99,935",Civil Works - Buildings,NA ,Tender,90.0,360.0,Khurda,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"1,55,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,11/OPHWC/2023-24,2023_OSPHW_89612_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2163341,SUSHIL KUMAR SAHOO,19-Jun-2023 12:49 PM,Rejected-Technical,Due to non-submission of adequate similar nature of work as per DTCN clause no-11 and 110 (k) and Sch-C i.e required Tools and Plant to secure qualifying marks as per DTCN clause no-13 and 110 (f),10-Jul-2023 07:12 PM,AOC,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2162336,V.K. JAIN,19-Jun-2023 02:05 PM,Rejected-Finance,DUE TO L2 BIDDER,04-Aug-2023 11:53 AM,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
