Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
29-May-2023,"INR 10,469,999.58",180.0,Satyajit Jena,25-Aug-2023 02:27 PM,2023_OMC_85737_5.pdf (561.00 KB),Construction of retaining wall with crated boulder at waste dump of Khandabandh Mines in the district of Keonjhar.,Orissa Mining Corporation,2023_OMC_85737_5,NIT No. 07/OMC/CIVIL/2023,Construction of retaining wall with crated boulder at waste dump of Khandabandh Mines in the district of Keonjhar.,A K PAL,Internal,L D BEHERA R K DASH DEBENDU MOHAPATRA S R PATTANAIK,Satyajit Jena,14-Mar-2023 06:10 PM,15-Mar-2023 11:00 AM,techsummary_427035.pdf (983.53 KB),Technical,11 (ELEVEN) bids has been received subjected to evaluation by committee,Durgamadhab Mallik,20-Feb-2023 06:38 PM,,A K PAL,Internal,L D BEHERA R K DASH DEBENDU MOHAPATRA S R PATTANAIK,Satyajit Jena,29-May-2023 01:32 PM,finsummary_427035.pdf (1214.17 KB),1.0,2079940.0,PRAKASH KUMAR PANDA,INR,"10,469,999.58",Finance,Financial bid of 11 (Eleven) qualified bidders had been open out of 11 (Eleven) bids.,Durgamadhab Mallik,15-Mar-2023 11:57 AM,,BOQ Comparative Chart,1,2080019,ABHIRAM SAHU,15-Feb-2023 02:07 PM,Rejected-Finance,Not being L1 or L2,29-May-2023 01:32 PM,AOC,01-Feb-2023 06:50 PM,16-Feb-2023 11:00 AM,01-Feb-2023 06:50 PM,15-Feb-2023 05:00 PM,NA ,NA ,01-Feb-2023 06:50 PM,15-Feb-2023 05:00 PM,15-Mar-2023 11:00 AM,Construction of retaining wall with crated boulder at waste dump of Khandabandh Mines in the district of Keonjhar.,Construction of retaining wall with crated boulder at waste dump of Khandabandh Mines in the district of Keonjhar.,Please refer Tender documents. ,NA ,"1,23,17,000",Civil Works - Others,NA ,Tender,180.0,180.0,KHANDABANDHA,758035.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,"CGM(C), OMC Ltd., Bhubaneswar","Office of the CGM(C), OMC Ltd., Bhubaneswar","11,800",0.0,Nil,Nil,No,Orissa Mining Corporation,NIT No. 07/OMC/CIVIL/2023,2023_OMC_85737_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requ","1,23,200",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2080240,ABHISHEK DAS,15-Feb-2023 03:50 PM,Rejected-Finance,Not being L1 or L2,29-May-2023 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,FINANCIAL,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2079836,BIKRANTA KUMAR BISWAL,15-Feb-2023 01:06 PM,Rejected-Finance,Not being L1 or L2,29-May-2023 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2080105,Green Circle Environment Pvt. Ltd.,15-Feb-2023 03:26 PM,Rejected-Finance,Not being L1 or L2,29-May-2023 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2079950,JAGAT JYOTI NAYAK,15-Feb-2023 03:40 PM,Rejected-AOC,NOT BEING L1,25-Aug-2023 02:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2080036,KANNAN EARTHMOVERS,15-Feb-2023 02:37 PM,Rejected-Finance,Not being L1 or L2,29-May-2023 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2079973,MOHAMMAD SADIQ ANWAR,15-Feb-2023 01:58 PM,Rejected-Finance,Not being L1 or L2,29-May-2023 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2077587,M/s MASCOT STEELCON,15-Feb-2023 02:28 PM,Rejected-Finance,Not being L1 or L2,29-May-2023 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2079940,PRAKASH KUMAR PANDA,15-Feb-2023 01:44 PM,Accepted-AOC,BEING L1,25-Aug-2023 02:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2078692,SANJAYA KUMAR SETHI,15-Feb-2023 09:25 AM,Rejected-Finance,Not being L1 or L2,29-May-2023 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
