Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
ABHISEK PANDA,Internal,BHAKTABANDHU MAHANTA,Abhishek Panda,21-Aug-2023 09:08 PM,techsummary_434851.pdf (3080.92 KB),Municipal Bodies||Joda Municipality,2023_ORULB_88087_8,JM-01/2023-24,Special Repair of Drain with Cover Slab from Kirtan Mandap towards Culvert in Ward No 2,1.0,2121597.0,SANGRAM KESHARI MALIK,INR,"545,000",1,2122553,RABINARAYAN SAHOO,30-Apr-2023 07:24 AM,Rejected-AOC,L2 BIDDER,21-Aug-2023 10:14 PM,Finance,TWO NOS OF BIDDERS PARTICIPATED,Abhishek Panda,21-Aug-2023 09:01 PM,finance_434851.pdf,BOQ Comparative Chart,ABHISEK PANDA,Internal,BHAKTABANDHU MAHANTA,Abhishek Panda,21-Aug-2023 10:06 PM,finsummary_434851.pdf (3080.92 KB),21-Aug-2023,"INR 545,000",60.0,Abhishek Panda,21-Aug-2023 10:13 PM,WORKSLNO8.pdf (357.00 KB),SANGRAM KESHARI MALIK AWARDED,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CONTRACTOR LICENSE LABOUR LICENSE OTHER DOCUMENTS AS PER DTCN,Special Repair of Drain with Cover Slab from Kirtan Mandap towards Culvert in Ward No 2,WORKS,Please refer Tender documents. ,NA ,"4,24,160",Civil Works - Others,NA ,Tender,120.0,60.0,JODA MUNICIPALITY,758038.0,NA ,NA ,NA ,JODA MUNICIPALITY OFFICE,No ,No,"4,241",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,Municipal Bodies||Joda Municipality,JM-01/2023-24,2023_ORULB_88087_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Apr-2023 10:00 AM,06-May-2023 10:00 AM,20-Apr-2023 10:00 AM,05-May-2023 05:00 PM,NA ,NA ,20-Apr-2023 10:00 AM,05-May-2023 05:00 PM,EXECUTIVE OFFICER JODA MUNICIPALITY,JODA MUNICIPALITY OFFICE AT PO BANEIKALA JODA DIST KEONJHAR ODISHA 758038,AOC
,,,,,,,,,,,,,,,2,2121597,SANGRAM KESHARI MALIK,25-Apr-2023 07:48 AM,Accepted-AOC,L1 BIDDER,21-Aug-2023 10:14 PM,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BILL OF QUANTITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
