Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_89612_8,11/OPHWC/2023-24,"Cluster of 1.Constn. of 50 Capacity (25x2) Addl. Ward at Sub Jail Nuapada, 2.Constn. of 4 Nos. F type Qtr. At- Sub Jail Nuapada and 3.Constn. of 1 Nos. D type Qtr.-cum-Office SDPO at Sub Jail Nuapada",1.0,2163564.0,SUNIL KUMAR MAHAPATRA,INR,"21,457,381",AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,10-Jul-2023 07:13 PM,11-Jul-2023 11:00 AM,techsummary_440126.pdf (110.06 KB),AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,18-Aug-2023 12:31 PM,finsummary_440126.pdf (746.95 KB),18-Aug-2023,"INR 21,457,381",300.0,Bikram Keshari Malla,18-Aug-2023 12:32 PM,WFW.pdf (1582.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 14.08.2023,1,2158755,Haresh Kumar Agrawal,13-Jun-2023 08:42 AM,Rejected-Finance,DUE TO L2 BIDDER,18-Aug-2023 12:31 PM,Technical,3 NOS OF BIDDERS HAVE PARTICIPATED,Bikram Keshari Malla,22-Jun-2023 12:20 PM,,Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,11-Jul-2023 11:31 AM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,11/OPHWC/2023-24,2023_OSPHW_89612_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,05-Jun-2023 06:55 PM,21-Jun-2023 11:00 AM,05-Jun-2023 06:55 PM,19-Jun-2023 05:00 PM,05-Jun-2023 06:55 PM ,08-Jun-2023 05:00 PM ,05-Jun-2023 06:55 PM,19-Jun-2023 05:00 PM,11-Jul-2023 11:00 AM,"2,25,800",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,ICICI BANK,"Cluster of 1.Constn. of 50 Capacity (25x2) Addl. Ward at Sub Jail Nuapada, 2.Constn. of 4 Nos. F type Qtr. At- Sub Jail Nuapada and 3.Constn. of 1 Nos. D type Qtr.-cum-Office SDPO at Sub Jail Nuapada",Building Work,Please refer Tender documents  ,NA ,"2,25,84,340",Civil Works - Buildings,NA ,Tender,90.0,300.0,Nuapada,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2162747,RASMIRANJAN DAS,19-Jun-2023 02:08 PM,Rejected-Finance,DUE TO L3 BIDDER,18-Aug-2023 12:31 PM,,,,,,,,,,,,AOC,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2163564,SUNIL KUMAR MAHAPATRA,19-Jun-2023 03:36 PM,Accepted-AOC,QUALIFIED BIDDER,18-Aug-2023 12:33 PM,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
