S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,"RC BOOK,TENDER COST,AFFIDAVIT,EMD,PAN, GSTN, LEASE AGREEMENT, MOU OF ELECTRICAL CONTRACTOR, BID SECU",30-Nov-2022 06:00 PM,13-Dec-2022 11:30 AM,30-Nov-2022 06:00 PM,12-Dec-2022 05:00 PM,30-Nov-2022 06:00 PM ,12-Dec-2022 05:00 PM ,30-Nov-2022 06:00 PM,12-Dec-2022 05:00 PM,15-Dec-2022 02:00 PM,Construction of 2 nos D type quarter at PWD Colony Jharsuguda for the year 2022-23,Construction of 2 nos D type quarter at PWD Colony Jharsuguda for the year 2022-23,Please refer Tender documents. ,NA ,"69,36,891",Civil Works - Buildings,NA ,Tender,90.0,270.0,JHARSUGUDA,768201.0,NA ,NA ,NA ,O/O the SE Jharsuguda R and B Division,No ,No,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-JHARSUGUDA,Bid Identification No-SE-RandB-JSG-19- OF 2022-2,2022_EICCL_83768_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE Jharsuguda R and B Division,O/O the SE Jharsuguda R and B Division,"10,000",0.0,Nil,Nil,No,0.0,No,fixed,,Nil,Nil,AOC,Finance,CS,Shashanka Sekhar Dash,15-Dec-2022 03:53 PM,,BOQ Comparative Chart,Technical,ACCEPTED,Shashanka Sekhar Dash,15-Dec-2022 01:14 PM,,1,2009689,ASHOK RAM,12-Dec-2022 09:38 AM,Rejected-AOC,2ND LOWEST,14-Aug-2023 11:54 AM,14-Aug-2023,"INR 6,406,913",270.0,Shashanka Sekhar Dash,14-Aug-2023 11:53 AM,2nodgypepwd.pdf (1086.00 KB),AOC,Superintending Engineer,Internal,AEE DAO-1,Shashanka Sekhar Dash,14-Aug-2023 11:49 AM,finsummary_418980.pdf (1086.36 KB),Superintending Engineer,Internal,AEE DAO,Shashanka Sekhar Dash,15-Dec-2022 01:17 PM,15-Dec-2022 02:00 PM,techsummary_418980.pdf (572.90 KB),1.0,2010034.0,DUKHANASAN KALO,INR,"6,406,913",EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-JHARSUGUDA,2022_EICCL_83768_1,Bid Identification No-SE-RandB-JSG-19- OF 2022-2,Construction of 2 nos D type quarter at PWD Colony Jharsuguda for the year 2022-23,AOC
2,ICICI NEFT/RTGS,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2010034,DUKHANASAN KALO,12-Dec-2022 01:42 PM,Accepted-AOC,1ST LOWEST,14-Aug-2023 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
