Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Ratnakar Dalai,Internal,"Er. Ratnakar Dalai, SE, Shatabdi Choudhury, AEE, Raghavendra Jaiswal, Sr.DAO",Ratnakar Dalai,29-Jun-2023 07:00 PM,techsummary_439532.pdf (38.07 KB),"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",2023_CELBB_89422_1,EPROCUREMENT TENDER CALL NOTICE PID02 OF 2023-24,"PID-52, Improvement to Munida Minor from RD 0.00 km to Tail",1.0,2156672.0,PRATIMA BADAJENA,INR,"3,455,787",1,2152868,ABHISEK DAS,03-Jun-2023 11:15 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,12-Aug-2023,"INR 3,455,787",180.0,Ratnakar Dalai,12-Aug-2023 08:34 PM,PID52.pdf (480.00 KB),AOC,Finance,All the bidders are valid bidders,Ratnakar Dalai,29-Jun-2023 03:11 PM,,BOQ Comparative Chart,Er. Ratnakar Dalai,Internal,"Er. Ratnakar DalaI SE, Raghabendra Jayswal Sr. DAO, Er. Shatabdi choudhery AEE, Er.DD Dash AE",Ratnakar Dalai,31-Jul-2023 02:01 PM,finsummary_439532.pdf (48.78 KB),AOC,1.0,ICICI BANK,"40,700",Yes,fixed,,Nil,Nil,29-May-2023 11:30 AM,08-Jun-2023 10:30 AM,29-May-2023 11:30 AM,07-Jun-2023 05:30 PM,29-May-2023 11:30 AM ,07-Jun-2023 05:30 PM ,29-May-2023 11:30 AM,07-Jun-2023 05:30 PM,"SE, PURI IRRIGATION DIVISION,PURI","O/O THE SUPERINTENDING ENGINEER, PURI IRRIGATION DIVISION,PURI, AT -SECHAN VIHAR, PO-SHREE VIHAR, PURI-752003","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",EPROCUREMENT TENDER CALL NOTICE PID02 OF 2023-24,2023_CELBB_89422_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN,PAN,REGISTRATION CERTIFICATE, AFFIDAVIT FOR EACH WORK, NRC,LC, OTHER DOCUMENTS AS PER DTCN,EMD","PID-52, Improvement to Munida Minor from RD 0.00 km to Tail","PID-52, Improvement to Munida Minor from RD 0.00 km to Tail",Please refer Tender documents. ,NA ,"40,65,154",Civil Works - Canal,NA ,Tender,90.0,180.0,PURI,752003.0,NA ,NA ,NA ,"O/O THE SE, PURI IRRIGATION DIVISION,PURI",No ,No,AOC
,,,,,,,,,,,,,,,2,2154668,ANAMIKA PANDA,07-Jun-2023 11:55 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2156529,ANAND BEHERA,07-Jun-2023 05:05 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2156371,ANIL KUMAR SAMARTHA,07-Jun-2023 12:46 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2156397,ASWINI MOHAPATRA,07-Jun-2023 11:57 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2156818,BHIMASEN JENA,07-Jun-2023 04:33 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2156341,BIBHU PRASAD SAHOO,07-Jun-2023 11:10 AM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2156739,BIJAYA KUMAR MANTU,07-Jun-2023 03:42 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2156588,BISWAJIT SARANGI,07-Jun-2023 01:43 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2155883,CHANDAN SAHOO,06-Jun-2023 05:55 PM,Rejected-AOC,Reject,12-Aug-2023 08:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
