S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,"4,000",0.0,Nil,Nil,No,Special Repair of Road with Paver Block from Naveen Mohanty House to Raju Das House in Ward No 1,WORKS,Please refer Tender documents. ,NA ,"8,48,004",Civil Works - Others,NA ,Tender,120.0,60.0,JODA MUNICIPALITY,758038.0,NA ,NA ,NA ,JODA MUNICIPALITY OFFICE,No ,No,20-Apr-2023 10:00 AM,06-May-2023 10:00 AM,20-Apr-2023 10:00 AM,05-May-2023 05:00 PM,NA ,NA ,20-Apr-2023 10:00 AM,05-May-2023 05:00 PM,"8,480",Yes,fixed,,Nil,Nil,EXECUTIVE OFFICER JODA MUNICIPALITY,JODA MUNICIPALITY OFFICE AT PO BANEIKALA JODA DIST KEONJHAR ODISHA 758038,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CONTRACTOR LICENSE LABOUR LICENSE OTHER DOCUMENTS AS PER DTCN,Municipal Bodies||Joda Municipality,JM-01/2023-24,2023_ORULB_88087_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,21-Aug-2023,"INR 1,090,000",60.0,Abhishek Panda,21-Aug-2023 10:29 AM,WORKSLNO5.pdf (347.00 KB),MANOJ PANDIT AWARDED,ABHISEK PANDA,Internal,BHAKTABANDHU MAHANTA,Abhishek Panda,21-Aug-2023 10:16 AM,finsummary_434848.pdf (3080.92 KB),Finance,TWO NOS OF BIDDERS PARTICIPATED,Abhishek Panda,21-Aug-2023 10:09 AM,finance_434848.pdf,BOQ Comparative Chart,1,2124864,ABHINAV ARYAN,27-Apr-2023 05:40 PM,Rejected-AOC,L2,21-Aug-2023 10:32 AM,1.0,2123349.0,MANOJ KUMAR PANDIT,INR,"1,090,000",Municipal Bodies||Joda Municipality,2023_ORULB_88087_5,JM-01/2023-24,Special Repair of Road with Paver Block from Naveen Mohanty House to Raju Das House in Ward No 1,ABHISEK PANDA,Internal,BHAKTABANDHU MAHANTA,Abhishek Panda,21-Aug-2023 10:11 AM,techsummary_434848.pdf (3080.92 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITES,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2123349,MANOJ KUMAR PANDIT,27-Apr-2023 05:49 PM,Accepted-AOC,MANOJ PANDIT AWARDED AS HE IS L1,21-Aug-2023 10:32 AM,,,,,,,,,,,,,,,,AOC
