Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Hindol NAC,HDL NAC-01/2022-23,2022_ORULB_77859_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,23-May-2022 01:00 PM,03-Jun-2022 11:00 AM,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,NA ,NA ,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,1.0,ICICI BANK,EXECUTIVE OFFICER,HINDOL NAC,0.0,No,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,Construction of Community Center at Muslim Sahi in ward No-03.,As per DTCN,Please refer Tender documents. ,NA ,"10,71,570",Civil Works - Others,NA ,Tender,120.0,60.0,HINDOL NAC,759022.0,NA ,NA ,NA ,HINDOL NAC,No ,No,AOC,Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,22-Aug-2023 01:46 PM,finsummary_399444.pdf (156.15 KB),Finance,lottery,Maruvada Srinivas,19-Aug-2023 06:38 PM,finance_399444.pdf,BOQ Comparative Chart,22-Aug-2023,"INR 910,938",60.0,Maruvada Srinivas,22-Aug-2023 03:30 PM,5.pdf (105.00 KB),AOC,1,1859076,Gyanaranjan Amanta,01-Jun-2022 08:03 AM,Rejected-Technical,Lottery,21-Aug-2023 04:59 PM,Municipal Bodies||Hindol NAC,2022_ORULB_77859_5,HDL NAC-01/2022-23,Construction of Community Center at Muslim Sahi in ward No-03.,1.0,1854486.0,SOMANATH SETHI,INR,"910,938",Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,21-Aug-2023 04:59 PM,techsummary_399444.pdf (156.15 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,1854486,SOMANATH SETHI,28-May-2022 04:24 PM,Accepted-AOC,L1,22-Aug-2023 03:30 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,1854186,Tapan Kumar Das,28-May-2022 11:27 AM,Rejected-Technical,Lottery,21-Aug-2023 04:59 PM,,,,,,,,,,,,,,,,AOC
