Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Kalpana Maharathy,20-Jul-2023 04:15 PM,21-Jul-2023 11:00 AM,techsummary_443613.pdf (182.96 KB),1.0,2178261.0,Gram Tarang Inclusive Development Services Pvt. Ltd.,INR,"2,403,660",Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_90554_3,BMC-EE-DD-11/2023-24 dtd.10.07.2023,"Conducting Drone Survey, Hydrographic",Finance,14 bids opened successfully.,Goutam Chandra Das,21-Jul-2023 02:39 PM,finance_443613.pdf,BOQ Comparative Chart,1,2178141,ARKITECHNO Consultants (India) Pvt. Ltd.,17-Jul-2023 03:09 PM,Rejected-Finance,Other than 1st lowest,23-Aug-2023 05:01 PM,Technical,14 bids opened successfully.,Goutam Chandra Das,18-Jul-2023 12:16 PM,technical_443613.pdf,Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,23-Aug-2023 05:01 PM,finsummary_443613.pdf (124.35 KB),23-Aug-2023,"INR 2,403,660",30.0,Goutam Chandra Das,23-Aug-2023 05:03 PM,WO-353.23.pdf (277.00 KB),AOC,"Conducting Drone Survey, Hydrographic","Conducting Drone Survey, Hydrographic Survey with preparation of Detail Project Report (DPR) and estimate for rejuvenation of water bodies in South East Zone under jurisdiction of Bhubaneswar Municipal Corporation.",As per DTCN ,NA ,"45,06,000",Miscellaneous Services,NA ,Rate Contract,120.0,30.0,BMC AREA LIMITED,751007.0,NA ,NA ,NA ,Superintending engineer chamber,No ,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-11/2023-24 dtd.10.07.2023,2023_ORULB_90554_3,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,11-Jul-2023 12:20 PM,18-Jul-2023 11:00 AM,11-Jul-2023 12:20 PM,17-Jul-2023 05:00 PM,NA ,NA ,11-Jul-2023 12:20 PM,17-Jul-2023 05:00 PM,21-Jul-2023 11:00 AM,Superintending engineer,"Superintending engineer, Drainage division, BMC","45,060",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Scan copy of all document,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2177133,EXCELINNOVA CONSULTANCY,17-Jul-2023 04:02 PM,Rejected-Finance,Other than 1st lowest,23-Aug-2023 05:01 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2175921,GALLOP INFRA SERVICES CONSULTANCY,17-Jul-2023 12:07 PM,Rejected-Finance,Other than 1st lowest,23-Aug-2023 05:01 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2178597,GLOBAL SURVEYS,16-Jul-2023 03:00 PM,Rejected-Finance,Other than 1st lowest,23-Aug-2023 05:01 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2178261,Gram Tarang Inclusive Development Services Pvt. Ltd.,15-Jul-2023 06:30 PM,Accepted-AOC,1st lowest,23-Aug-2023 05:04 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2177789,Inventgrid India Private Limited,17-Jul-2023 04:29 PM,Rejected-Finance,Other than 1st lowest,23-Aug-2023 05:01 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2178892,Lotus Engineers,17-Jul-2023 04:52 PM,Rejected-Finance,Other than 1st lowest,23-Aug-2023 05:01 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2178788,"Pioneer, Consulting Engineers & Contractors",17-Jul-2023 12:59 PM,Rejected-Finance,Other than 1st lowest,23-Aug-2023 05:01 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2179143,RADIANT,17-Jul-2023 03:12 PM,Rejected-Finance,Other than 1st lowest,23-Aug-2023 05:01 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2178864,REELON,17-Jul-2023 02:08 PM,Rejected-Finance,Other than 1st lowest,23-Aug-2023 05:01 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
