S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,2122758.0,RAJ KUMAR KUDEI,INR,"1,355,357.59",Finance,5 nos of bidders has bidding their bid,Tan Kishor Naik,17-May-2023 11:29 AM,finance_434641.pdf,BOQ Comparative Chart,CHAIRPERSON,Internal,"CP,EO,ME",Tan Kishor Naik,19-Jun-2023 11:28 AM,finsummary_434641.pdf (269.44 KB),Municipal Bodies||Patnagarh NAC,2023_ORULB_88018_10,854_17.04.2023_NACPTG,"Resto. Of C.C Road with Drain From Mithun Chowk to Jadbandhpada Chowk in Ward No-4 of NAC, Patnagarh.",CHAIRPERSON,Internal,"CP,EO,ME",GOURA HARI MOHANTA,09-Jun-2023 08:36 AM,techsummary_434641.pdf (265.21 KB),1,2121091,BIMBADHAR BEHERA,26-Apr-2023 01:59 PM,Rejected-Finance,LOSS IN LOTTERY,19-Jun-2023 11:28 AM,01-Jul-2023,"INR 1,355,357",45.0,Tan Kishor Naik,16-Aug-2023 12:42 PM,WC_10.pdf (888.00 KB),"Resto. Of C.C Road with Drain From Mithun Chowk to Jadbandhpada Chowk in Ward No-4 of NAC, Patnagarh works has been complete.",AOC,EXECUTIVE OFFICER,"EO, NAC PATNAGARH",18-Apr-2023 10:00 AM,28-Apr-2023 10:00 AM,18-Apr-2023 10:00 AM,27-Apr-2023 06:00 PM,NA ,NA ,18-Apr-2023 10:00 AM,27-Apr-2023 06:00 PM,"Resto. Of C.C Road with Drain From Mithun Chowk to Jadbandhpada Chowk in Ward No-4 of NAC, Patnagarh.","Resto. Of C.C Road with Drain From Mithun Chowk to Jadbandhpada Chowk in Ward No-4 of NAC, Patnagarh.",Please refer Tender documents. ,NA ,"15,94,350",Civil Works - Others,NA ,Tender,90.0,45.0,NAC PATNAGARH,767025.0,NA ,NA ,NA ,NAC PATNAGARH,No ,No,"15,944",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,Municipal Bodies||Patnagarh NAC,854_17.04.2023_NACPTG,2023_ORULB_88018_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,DATE EXTENTION,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2123498,DOSALIN MISHRA,26-Apr-2023 06:13 PM,Rejected-Finance,LOSS IN LOTTERY,19-Jun-2023 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2122758,RAJ KUMAR KUDEI,26-Apr-2023 06:59 PM,Accepted-AOC,winner in lottery,16-Aug-2023 12:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2122607,ROJALINI SUBUDHI,26-Apr-2023 08:31 AM,Rejected-Finance,LOSS IN LOTTERY,19-Jun-2023 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2122979,SANDHYARANI DARUAN,26-Apr-2023 08:10 PM,Rejected-Finance,LOSS IN LOTTERY,19-Jun-2023 11:28 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
