Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Executive Officer, Balasore Municipality",Balasore Municipality,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,Municipal Bodies||Balasore Municipality,BM_02_2023_24,2023_ORULB_88734_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,08-May-2023 05:00 PM,22-May-2023 11:00 AM,08-May-2023 05:00 PM,20-May-2023 05:00 PM,NA ,NA ,08-May-2023 05:00 PM,20-May-2023 05:00 PM,"4,125",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,CONSTRUCTION OF PAVER BLOCK ROAD FROM SATAPATHY BABU HOUSE TO SUBRAT DAS HOUSE EKTA NAGAR IN WARD NO_21 under Balasore Municipality,CONSTRUCTION OF PAVER BLOCK ROAD FROM SATAPATHY BABU HOUSE TO SUBRAT DAS HOUSE EKTA NAGAR IN WARD NO_21 under Balasore Municipality,Please refer Tender documents. ,NA ,"4,12,500",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,AOC,14-Aug-2023,"INR 486,750",60.0,Pranabananda Sahu,14-Aug-2023 06:06 PM,WO0227.pdf (322.00 KB),1,2141915,Kartik Chandra Parida,18-May-2023 08:04 PM,Accepted-AOC,WO,14-Aug-2023 06:07 PM,EO ME CP,Internal,,Pranabananda Sahu,14-Aug-2023 06:03 PM,techsummary_436928.pdf (382.57 KB),EO ME CP,Internal,,Pranabananda Sahu,14-Aug-2023 06:05 PM,finsummary_436928.pdf (382.57 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_88734_27,BM_02_2023_24,CONSTRUCTION OF PAVER BLOCK ROAD FROM SATAPATHY BABU HOUSE TO SUBRAT DAS HOUSE EKTA NAGAR IN WARD NO_21 under Balasore Municipality,1.0,2141915.0,Kartik Chandra Parida,INR,"403,796.25",Finance,TENDER OPENED SUCCESSFULLY,Kunal Motiram Chavan,22-May-2023 06:01 PM,,BOQ Comparative Chart,AOC
,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2142105,NANDA KISHORE RATH,19-May-2023 07:14 PM,Rejected-Finance,L2,14-Aug-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
