Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"7,080",Nil,Nil,No,1,ICICI BANK,WATCO Bhubaneswar||Director (Projects) Watco||GM WATCO PROJECT DIVISION SAMBALPUR,08/ Project/WATCO/SBP/ 2023-24 Dated 07 .07.2023,2023_WPDS_90646_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"General Manager, WATCO Project Division, Sambalpur","General Manager, WATCO Project Division, Sambalpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of PAN, GST, Affidavits,Certificates, Formats, Schedules and other documents as per DTCN",13-Jul-2023 02:00 PM,24-Jul-2023 12:30 PM,13-Jul-2023 02:00 PM,21-Jul-2023 05:00 PM,NA ,NA ,13-Jul-2023 02:00 PM,21-Jul-2023 05:00 PM,"31,000",Yes,fixed,,Nil,Nil,"Laying of 450 mm dia RCC NP3 Sewer from MH4941(Near Jail colony) to MH4974(Behind Jail Chowk) and construction of 1500 mm dia Manhole chamber along Bhutapada Road, Catchment-3 in part commissioning area of Sambalpur Sewerage System.","Laying of 450 mm dia RCC NP3 Sewer from MH4941(Near Jail colony) to MH4974(Behind Jail Chowk) and construction of 1500 mm dia Manhole chamber along Bhutapada Road, Catchment-3 in part commissioning area of Sambalpur Sewerage System.",Please refer Tender documents. ,NA ,"31,01,110",Civil Works - Water Works,Sewerage Works ,Tender,120.0,60.0,Bhutapara,768001.0,NA ,NA ,NA ,Sambalpur,No ,No,AOC,Rajesh Kumar Nayak,Internal,"Hrudananda Swain,Pramila Bag",Hrudananda Swain,27-Jul-2023 12:15 AM,techsummary_443817.pdf,Finance,Admitted as per evaluation,Hrudananda Swain,26-Jul-2023 11:57 PM,,31-Jul-2023,"INR 3,101,110.06",60.0,Rajesh Kumar Nayak,07-Aug-2023 10:13 PM,OEC_Bid8.pdf,Rajesh Kumar Nayak,Internal,"Hrudananda Swain,Pramila Bag",Hrudananda Swain,27-Jul-2023 12:22 AM,finsummary_443817.pdf,WATCO Bhubaneswar||Director (Projects) Watco||GM WATCO PROJECT DIVISION SAMBALPUR,2023_WPDS_90646_1,08/ Project/WATCO/SBP/ 2023-24 Dated 07 .07.2023,"Laying of 450 mm dia RCC NP3 Sewer from MH4941(Near Jail colony) to MH4974(Behind Jail Chowk) and construction of 1500 mm dia Manhole chamber along Bhutapada Road, Catchment-3 in part commissioning area of Sambalpur Sewerage System.",AOC
,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
