S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2139082.0,RAKESH KUMAR SINGH,INR,"2,195,381",Finance,14 BIDDER PARTICIPATED,Supriya Sahoo,17-May-2023 04:57 PM,,BOQ Comparative Chart,ER S.K. BEHERA,Internal,,Supriya Sahoo,07-Jul-2023 12:14 PM,finsummary_437223.pdf (470.18 KB),"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur",2023_CELBB_88792_30,MND-02 OF 2023-24,"Construction of C.C guard wall in Disty No 8 from RD 8.00Km to RD 8.02Km at Kanpur CR , from RD 10.52 Km to RD 10.54Km at Umar and in Disty no 8G, 8H, 8H1/4 for the year 2023-24",ER S.K. BEHERA,Internal,,Supriya Sahoo,07-Jul-2023 11:59 AM,techsummary_437223.pdf (470.18 KB),1,2138723,ABHIMANYU SETHY,15-May-2023 12:12 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,11-Aug-2023,"INR 2,195,381",270.0,Sanjeeb Kumar Behera,11-Aug-2023 12:40 PM,mnd230.pdf (939.00 KB),AOC,"SUPERINTENDING ENGINEER, MND-I, JAGATPUR","O/O THE SUPERINTENDING ENGINEER, MND-I, JAGATPUR","Construction of C.C guard wall in Disty No 8 from RD 8.00Km to RD 8.02Km at Kanpur CR , from RD 10.52 Km to RD 10.54Km at Umar and in Disty no 8G, 8H, 8H1/4 for the year 2023-24","Construction of C.C guard wall in Disty No 8 from RD 8.00Km to RD 8.02Km at Kanpur CR , from RD 10.52 Km to RD 10.54Km at Umar and in Disty no 8G, 8H, 8H1/4 for the year 2023-24",Please refer Tender documents. ,NA ,"25,82,498",Civil Works - Others,NA ,Tender,90.0,270.0,kendupatana,754021.0,NA ,NA ,NA ,"O/O THE SUPERINTENDING ENGINEER, MND-I, JAGATPUR",No ,No,1.0,ICICI BANK,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur",MND-02 OF 2023-24,2023_CELBB_88792_30,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,PAN,GSTIN,AFFIDAVIT, NRC AND OTHER DOCUMENTS AS PER DTCN","6,000",0.0,Nil,Nil,No,"25,900",Yes,fixed,,Nil,Nil,09-May-2023 09:00 AM,16-May-2023 11:30 AM,09-May-2023 09:00 AM,15-May-2023 05:30 PM,09-May-2023 09:00 AM ,12-May-2023 05:30 PM ,09-May-2023 09:00 AM,15-May-2023 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2137731,AMAR KUMAR MALLA,13-May-2023 08:44 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2138409,BIJAYA KUMAR PARIDA,15-May-2023 11:09 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2139309,CHANDAN KUMAR JENA,15-May-2023 04:39 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2138710,DEBENDRA NATH BEHERA (S.C),15-May-2023 12:04 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2137705,HAREKRUSHNA NAYAK,15-May-2023 02:22 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2137393,MAHESWAR BEHURA,13-May-2023 11:49 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2136557,Natabar Dalai,14-May-2023 01:00 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2138690,NIBASH CHANDRA BEHERA (S.C),15-May-2023 11:53 AM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2139041,PATITAPABAN SWAIN,15-May-2023 02:17 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 12:14 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
