Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA,CCE R AND B RGDA-1/23-24,2023_EICCL_88447_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"4,79,000",Yes,fixed,,Nil,Nil,Chief Construction Engineer,O/o Chief Construction Engineer R and B Circle Rayagada PIN 765001,Construction of HL Bridge over Ratachuaon Nallah at 27/0 km of Tikiri-Kashipur via Dongasil Road in the District of Rayagada under State Plan for the year 2022.23,Bridge work,Please refer Tender documents. ,NA ,"4,78,60,246",Civil Works - Bridges,NA ,Tender,90.0,270.0,Rayagada,765001.0,NA ,NA ,NA ,O/o Chief Construction Engineer R and B Circle,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper,EMD,PAN,GSTRC,GSTIN,Affidavit,Labour License,Regd Certificate",28-Apr-2023 12:00 PM,12-May-2023 11:00 AM,28-Apr-2023 12:00 PM,11-May-2023 05:00 PM,28-Apr-2023 12:00 PM ,06-May-2023 05:00 PM ,28-Apr-2023 12:00 PM,11-May-2023 05:00 PM,27-Jun-2023 11:30 AM,AOC,1.0,2136072.0,SANDEEP ALOK BHOI,INR,"43,079,007",EIC-CIVIL||SERNB-CIRCLE-RAYAGADA,2023_EICCL_88447_1,CCE R AND B RGDA-1/23-24,Construction of HL Bridge over Ratachuaon Nallah at 27/0 km of Tikiri-Kashipur via Dongasil Road in the District of Rayagada under State Plan for the year 2022.23,P K Dhar CCE,Internal,A Mishra EE BB Patnaik Sr DAO S K Meher PA to CCE RC Mallick Estimator,Pramod Kumar Dhar,26-Jun-2023 08:21 PM,27-Jun-2023 11:30 AM,techsummary_435897.pdf (595.36 KB),Pramod Kumar Dhar CCE,Internal,EE DAO PA to CCE Estimator,Pramod Kumar Dhar,28-Aug-2023 12:17 PM,finsummary_435897.pdf (886.63 KB),28-Aug-2023,"INR 43,079,007",270.0,Pramod Kumar Dhar,28-Aug-2023 12:19 PM,Work_Order_Ratachuan.pdf (712.00 KB),Tender is awarded to Sri Sandeep alok Bhoi vide work order no. 4366 Dt. 18.08.2023.,Finance,Financial Bid Opening Summary of the above Qualified bidders are uploaded,Pramod Kumar Dhar,28-Jun-2023 01:13 PM,finance_435897.pdf,BOQ Comparative Chart,Technical,Five Nos of bidders participated and for Technical Evaluation.,Pramod Kumar Dhar,20-May-2023 12:06 PM,technical_435897.pdf,1,2136265,GYAN RANJAN SWAIN,11-May-2023 04:45 PM,Rejected-AOC,L4,28-Aug-2023 12:21 PM,AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Experience and other documents as per DTCN,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2136047,JAY PRAKASH SHARMA,11-May-2023 11:57 AM,Rejected-AOC,L2,28-Aug-2023 12:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2135753,RABINDRA NAYAK,10-May-2023 05:04 PM,Rejected-AOC,L5,28-Aug-2023 12:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2133271,RAJESH KUMAR MISHRA,11-May-2023 04:48 PM,Rejected-AOC,L3,28-Aug-2023 12:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2136072,SANDEEP ALOK BHOI,11-May-2023 02:09 PM,Accepted-AOC,L1,28-Aug-2023 12:21 PM,AOC
