Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
CE RW I||RWCIRCLE-KEONJHAR,2023_CERWI_91044_1,Road Online NCB No. 372,Periodical Maintenance of 5 Years completed PMGSY Roads for the Package No. PM-KJR-14 in the District of Keonjhar.,1.0,2191967.0,ALINA SAMAL,INR,"29,306,625.51",N V Harihar Rao,Internal,Puspanjali Bangsingh Monalisha Hembram Monalisa Behera,N V Harihar Rao,08-Aug-2023 09:10 PM,11-Aug-2023 06:00 PM,techsummary_444945.pdf (951.92 KB),N V Harihar Rao,Internal,Puspanjali Bangsingh Monalisha Hembram Monalisa Behera,Monalisha Hembram,25-Aug-2023 07:08 PM,finsummary_444945.pdf (335.83 KB),28-Aug-2023,"INR 29,306,625.51",90.0,Monalisha Hembram,29-Aug-2023 08:45 PM,AGTPMKJR14.pdf (2408.00 KB),Award of Contract.,Finance,Cover-II,Monalisha Hembram,17-Aug-2023 07:22 PM,finance_444945.pdf,BOQ Comparative Chart,1,2191967,ALINA SAMAL,02-Aug-2023 02:30 PM,Accepted-AOC,L1 (Award of Contract.),29-Aug-2023 08:47 PM,Technical,5 Nos. Bidder Participated,Monalisa Behera,05-Aug-2023 09:10 PM,technical_444945.pdf,AOC,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Periodical Maintenance of 5 Years completed PMGSY Roads for the Package No. PM-KJR-14 in the District of Keonjhar.,Periodical Maintenance of 5 Years completed PMGSY Roads for the Package No. PM-KJR-14 in the District of Keonjhar.,Please refer Tender documents. ,NA ,"2,67,17,683",Civil Works - Roads,NA ,Tender,90.0,90.0,Keonjhar,758001.0,NA ,NA ,NA ,"O/o C.C.E., R.W. Circle, Keonjhar",No ,No,1.0,Financial Bid Opening Date Corrigendum,Financial Bid Opening Date Corrigendum,,22-Jul-2023 05:20 PM,03-Aug-2023 11:00 AM,22-Jul-2023 05:20 PM,02-Aug-2023 05:00 PM,22-Jul-2023 05:20 PM ,01-Aug-2023 05:00 PM ,22-Jul-2023 05:20 PM,02-Aug-2023 05:00 PM,11-Aug-2023 06:00 PM,"Chief Construction Engineer, R.W. Circle, Keonjhar","O/o C.C.E., R.W. Circle, Keonjhar","2,67,177",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-KEONJHAR,Road Online NCB No. 372,2023_CERWI_91044_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, Registration Certificate, GSTIN, PAN, Affidavits etc.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2192365,DILESWAR PRADHAN,01-Aug-2023 06:02 PM,Rejected-AOC,L2,29-Aug-2023 08:47 PM,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Profit Loss statement, List of similar nature of work, Work in hand and other documents as per DTCN.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2193003,DILLIP KUMAR SWAIN,02-Aug-2023 02:17 PM,Rejected-Technical,1. Insufficient machinaries (PRR) 2. Hotmix Plant location not mentioned.,08-Aug-2023 09:10 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and all other documents required as per DTCN.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2193048,GAJENDRA KUMAR SAHOO,02-Aug-2023 02:51 PM,Rejected-Technical,Location of Hotmix Plant beyond 60 Km.,08-Aug-2023 09:10 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2192937,SAMBIT KUMAR JENA,02-Aug-2023 01:42 PM,Rejected-Technical,Hotmix Plant (own/ leased) not installed within 60 Km.,08-Aug-2023 09:10 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
