Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
"CE-BM,B Right Basin,Dhenkanal||SE,Angul Irr.Circle,Angul||EE,Rengali Right Canal Divn No. III",2022_CEBMD_81624_1,CERRIP-01/2022-23,"Excavation of Narasinghpur Branch Canal from RD 19.565 km to RD 22.900 km including construction of its structures, Lining and Service road of RRIP",1.0,1946849.0,ANNADA SANKAR SAHOO,INR,"94,444,718","Addl Chief Secy, DOWR",External,"1. FA cum Spl Secy to Govt, 2. Joint Secy to Govt, 3. Dy Secy to Govt, 4. CE, RRIP, Dhenkanal, 5. EIC, PD, 6. EIC, Procurement, 7. EIC, WR",Pramod Kumar Biswal,06-Feb-2023 04:44 PM,07-Feb-2023 11:00 AM,techsummary_411191.pdf (44.47 KB),"Additional Chief Secretary, DOWR",External,"1. FA cum Spl Secy to Govt, WR, 2. Dy Secy to Govt, Law, 3. Dy Secy to Govt, Finance, 4. CE, RRIP, 5. EIC, PD, 6. EIC, PROC, 7. EIC, WR",Pramod Kumar Biswal,10-Apr-2023 09:13 AM,finsummary_411191.pdf (269.42 KB),28-Jul-2023,"INR 94,444,718",548.0,Pramod Kumar Biswal,01-Aug-2023 08:50 PM,AOC-NBC-19-22.pdf (210.00 KB),"The work has been awarded to Sri Annada Sankar Sahoo vide agreement No 01P1/2023-24 of SE, RRC Division No.II, Dhenkanal",Finance,Financial bid of 10 qualified bidders opened and downloaded successfully,Ramesh Chandra Sahoo,07-Feb-2023 01:24 PM,finance_411191.pdf,BOQ Comparative Chart,1,1946849,ANNADA SANKAR SAHOO,10-Oct-2022 11:16 PM,Accepted-AOC,Winner of Lottery among the 1st lowest bidders,01-Aug-2023 08:51 PM,Technical,14 nos of bidders have submitted their bids online and their Technical bid documents downloaded successfully.,Ramesh Chandra Sahoo,12-Oct-2022 12:24 PM,technical_411191.pdf,AOC,21-Sep-2022 10:00 AM,12-Oct-2022 11:00 AM,21-Sep-2022 10:00 AM,11-Oct-2022 05:30 PM,21-Sep-2022 10:00 AM ,28-Sep-2022 03:00 PM ,21-Sep-2022 10:00 AM,11-Oct-2022 05:30 PM,07-Feb-2023 11:00 AM,1.0,ICICI BANK,0.0,No,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, PAN, Contractor RC and Bid Security declaration etc","Excavation of Narasinghpur Branch Canal from RD 19.565 km to RD 22.900 km including construction of its structures, Lining and Service road of RRIP","Excavation of Canal, Canal lining and construction of structures and service road",Please refer Tender documents. ,NA ,"11,10,98,363",Civil Works - Canal,NA ,Tender,90.0,548.0,Tigiria,754030.0,NA ,NA ,NA ,"office of the CE, RRIP, Dhenkanal",No ,No,"CE-BM,B Right Basin,Dhenkanal||SE,Angul Irr.Circle,Angul||EE,Rengali Right Canal Divn No. III",CERRIP-01/2022-23,2022_CEBMD_81624_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, RRIP, Dhenkanal",At/Po-Mahisapat Dist-Dhenkanal PIN-759001,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1947495,BIBHUDATTA PRADHAN,11-Oct-2022 03:55 PM,Rejected-Finance,The bid of 1st lowest bidder and lottery winner is accepted,10-Apr-2023 09:13 AM,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,"Affidavit, undertakings and any other documents required as per Bid Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1946831,BIBHU RANJAN PARIDA,10-Oct-2022 10:52 PM,Rejected-Finance,The bid of 1st lowest bidder and lottery winner is accepted,10-Apr-2023 09:13 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1943990,DEEPAK INFRATECH PRIVATE LIMITED,11-Oct-2022 12:29 PM,Rejected-Finance,The bid of 1st lowest bidder and lottery winner is accepted,10-Apr-2023 09:13 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1946843,GOPALA CONSTRUCTION,10-Oct-2022 11:02 PM,Rejected-Finance,The bid of 1st lowest bidder and lottery winner is accepted,10-Apr-2023 09:13 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1945652,MAHIMA ENGINEERING SYSTEMS PRIVATE LIMITED,09-Oct-2022 02:08 PM,Rejected-Technical,The bid of Technically qualified bidders accepted,06-Feb-2023 04:44 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1947429,PRAMILA CONSTRUCTION AND BUILDERS PRIVATE LIMITED,11-Oct-2022 03:05 PM,Rejected-Technical,The bid of Technically qualified bidders accepted,06-Feb-2023 04:44 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1947434,Rakesh Agarwalla,11-Oct-2022 03:05 PM,Rejected-Finance,The bid of 1st lowest bidder and lottery winner is accepted,10-Apr-2023 09:13 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1945832,SAMBIT KUMAR LENKA,10-Oct-2022 11:54 PM,Rejected-Finance,The bid of 1st lowest bidder and lottery winner is accepted,10-Apr-2023 09:13 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1947128,SANTOSH KUMAR BISWAL,11-Oct-2022 12:56 PM,Rejected-Finance,The bid of 1st lowest bidder and lottery winner is accepted,10-Apr-2023 09:13 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
