Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,01-Jun-2023 10:00 AM,13-Jun-2023 10:00 AM,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,NA ,NA ,01-Jun-2023 10:00 AM,12-Jun-2023 05:00 PM,Municipal Bodies||Bhawanipatna Municipality,BPM/02/2023-24,2023_ORULB_89441_70,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"16,949",Yes,fixed,,Nil,Nil,1,ICICI BANK,Construction of Bitumin road from Surendra Mandap to Naktiguda Bandh in Ward No. 13,Construction of Bitumin road from Surendra Mandap to Naktiguda Bandh in Ward No. 13,Please refer Tender documents. ,NA ,"16,94,890",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",AOC,1,2158340,Ajaya Kumar Bishi,11-Jun-2023 06:48 PM,Accepted-AOC,AWARDED,30-Aug-2023 05:57 PM,30-Aug-2023,"INR 1,440,826.61",30.0,Chinmaya Kumar Nayak,30-Aug-2023 05:56 PM,TENDERPROCEEDING.pdf (2453.00 KB),AWARDED,CP,Internal,ACCEPTED,Chinmaya Kumar Nayak,16-Jul-2023 05:47 AM,techsummary_439730.pdf (2452.55 KB),CP,Internal,"JE,ME,EO,STO,CP",Chinmaya Kumar Nayak,30-Aug-2023 05:55 PM,finsummary_439730.pdf (2452.55 KB),Municipal Bodies||Bhawanipatna Municipality,2023_ORULB_89441_70,BPM/02/2023-24,Construction of Bitumin road from Surendra Mandap to Naktiguda Bandh in Ward No. 13,1.0,2158340.0,Ajaya Kumar Bishi,INR,"1,440,826.61",Finance,ACCEPTED,Chinmaya Kumar Nayak,15-Jul-2023 06:24 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,2,2158599,DHIRENDRA KUMAR PATRA,10-Jun-2023 08:13 PM,Rejected-AOC,L2,30-Aug-2023 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
