Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online Copy of tender cost and RC, PAN Card, GSTIN and Affidavit and other documents","Refurbishing physical Health Infrastructure such as Providing Interlocking Cement Concrete Paver block, 2 nos of Security Room, PWD Toilet, Partition wall Modification of works etc at MCH Boipariguda, under AMA Hospital for the year 2022-23.",Civil and PH works,Please refer Tender documents. ,NA ,"1,22,74,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Boipariguda,764043.0,NA ,NA ,NA ,"O/O the S.E , Jeypore R and B Division",No ,No,"10,000",0.0,Nil,Nil,No,"S.E , Jeypore R and B Division","O/O the S.E , Jeypore R and B Division, Jail Road, Jeypore",EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-JEYPORE,SE RANDB 01/2023-24,2023_EICCL_88179_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,26-Apr-2023 12:00 PM,11-May-2023 11:00 AM,26-Apr-2023 12:00 PM,10-May-2023 05:00 PM,26-Apr-2023 12:00 PM ,04-May-2023 05:00 PM ,26-Apr-2023 12:00 PM,10-May-2023 05:00 PM,06-Jun-2023 03:15 PM,"1,22,800",Yes,fixed,,Nil,Nil,1.0,change of date,Other,,1.0,ICICI BANK,AOC,SUPERINTENDING ENGINEER,Internal,DAO and AEE Estimator,Sangeeta Gamango,03-Aug-2023 06:57 PM,finsummary_435063.pdf (477.45 KB),03-Aug-2023,"INR 10,433,811",90.0,Sangeeta Gamango,03-Aug-2023 07:44 PM,WO_Ama_Boipariguda122.pdf (477.00 KB),Attached,Finance,Attached,Sangeeta Gamango,03-Aug-2023 06:45 PM,finance_435063.pdf,BOQ Comparative Chart,Technical,ATTACHED,Sangeeta Gamango,22-May-2023 10:57 AM,technical_435063.pdf,1,2134946,AMIT BHANJAN DAS,09-May-2023 02:51 PM,Rejected-AOC,2nd lowest,03-Aug-2023 07:46 PM,1.0,2134873.0,K. MOULIDHAR,INR,"10,433,810.78",EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-JEYPORE,2023_EICCL_88179_4,SE RANDB 01/2023-24,"Refurbishing physical Health Infrastructure such as Providing Interlocking Cement Concrete Paver block, 2 nos of Security Room, PWD Toilet, Partition wall Modification of works etc at MCH Boipariguda, under AMA Hospital for the year 2022-23.",SUPERINTENDING ENGINEER,Internal,DAO AND AEE ESTIMATOR,Sangeeta Gamango,06-Jun-2023 03:14 PM,06-Jun-2023 03:15 PM,techsummary_435063.pdf (980.25 KB),AOC
,,.pdf,Machineries and other documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2128302,ASHOK KUMAR SATPATHY,02-May-2023 02:57 PM,Rejected-AOC,2nd lowest,03-Aug-2023 07:46 PM,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2133998,DEBABRATA SATAPATHY,08-May-2023 04:04 PM,Rejected-Technical,Disqualified in Technical Evaluation,06-Jun-2023 03:14 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2135018,Ganesh Naik,09-May-2023 04:23 PM,Rejected-AOC,2nd lowest,03-Aug-2023 07:46 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,2129616,jagadish ku nayak,08-May-2023 08:48 PM,Rejected-AOC,2nd lowest,03-Aug-2023 07:46 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,2134999,JYOTI RANI PATI,09-May-2023 03:41 PM,Rejected-AOC,2nd lowest,03-Aug-2023 07:46 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,2134873,K. MOULIDHAR,09-May-2023 01:53 PM,Accepted-AOC,1st lowest by Lottery,03-Aug-2023 07:46 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,2133359,M/S MAA SANTOSHI CONSTRUCTION,08-May-2023 05:42 PM,Rejected-AOC,3rd Lowest,03-Aug-2023 07:46 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,2130478,RAGHUNATH BARIK,08-May-2023 01:22 PM,Rejected-AOC,3rd lowest,03-Aug-2023 07:46 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,2128940,RAJINIKANTA MALLICK,03-May-2023 05:40 PM,Rejected-AOC,2nd lowest,03-Aug-2023 07:46 PM,,,,,,,,,,,,,,,,,AOC
