Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-I-BBSR,2023_EICCL_89779_4,TENDER CALL NOTICE NO.06 OF 2023-24,S.R to desilting of R.C.C drain of different roads of B.J.B area for the year 2023-24.,1.0,2160115.0,MANOJ KUMAR KANUNGO,INR,"4,406,994",ErTrinathaBehera SE RandBDivisionNoIBBSR,Internal,SriAKMahapatra Sr.DAO Er.PPJena AE,Trinatha Behera,23-Aug-2023 06:55 PM,techsummary_440877.pdf (326.24 KB),23-Aug-2023,"INR 4,406,994",15.0,Trinatha Behera,23-Aug-2023 07:04 PM,Agreement5.pdf (266.00 KB),AOC,Finance,10 Nos. Bidder Received,Trinatha Behera,23-Aug-2023 06:52 PM,,BOQ Comparative Chart,ErTrinathaBehera SE RandBDivisionNoIBBSR,Internal,SriAKMahapatra Sr.DAO Er.PPJena AE,Trinatha Behera,23-Aug-2023 07:01 PM,finsummary_440877.pdf (326.24 KB),1,2160542,BHAGABAN JENA,15-Jun-2023 12:12 PM,Rejected-Finance,L1,23-Aug-2023 07:01 PM,AOC,EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-I-BBSR,TENDER CALL NOTICE NO.06 OF 2023-24,2023_EICCL_89779_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GST,PAN,BIDCOST,EMD AND OTHER DOCUMENTS AS PER APPROVED DTCN","S.E.BBSRRANDBDIVISIONNO.I,BBSR","OFFICE OF THE SUPERINTENDING ENGINEER, BHUBANESWAR RANDB DIVISION NO.I, BHUBANESWAR","6,000",0.0,Nil,Nil,No,"44,070",Yes,percentage,1.0%,Nil,Nil,S.R to desilting of R.C.C drain of different roads of B.J.B area for the year 2023-24.,S.R to desilting of R.C.C drain of different roads of B.J.B area for the year 2023-24.,Please refer Tender documents. ,NA ,"44,06,994",Civil Works - Others,NA ,Tender,90.0,15.0,Bhubaneswar,751001.0,NA ,NA ,NA ,OFFICEOFTHES.E.BBSRRANDBDIVISIONNO.I,No ,No,1.0,ICICI BANK,10-Jun-2023 12:30 PM,16-Jun-2023 11:30 AM,10-Jun-2023 12:30 PM,15-Jun-2023 05:00 PM,NA ,NA ,10-Jun-2023 12:30 PM,15-Jun-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2160666,DEBASISH TARENIA,15-Jun-2023 03:59 PM,Rejected-Finance,L1,23-Aug-2023 07:01 PM,AOC,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2160393,DEBASIS PRADHAN,15-Jun-2023 01:24 AM,Rejected-Finance,L1,23-Aug-2023 07:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2160655,DILLIP KUMAR ROUT,15-Jun-2023 03:22 PM,Rejected-Finance,L1,23-Aug-2023 07:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2160660,HEMANTA KUMAR BEHERA,15-Jun-2023 03:30 PM,Rejected-Finance,L1,23-Aug-2023 07:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2160115,MANOJ KUMAR KANUNGO,15-Jun-2023 02:12 AM,Accepted-AOC,AOC,23-Aug-2023 07:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2160055,PRADIPTA KUMAR BEHERA,14-Jun-2023 09:29 AM,Rejected-Finance,L1,23-Aug-2023 07:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2160204,PRAMOD MALIK,15-Jun-2023 12:48 AM,Rejected-Finance,L1,23-Aug-2023 07:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2160682,RABINARAYAN SAHOO,15-Jun-2023 02:42 PM,Rejected-Finance,L1,23-Aug-2023 07:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2160404,SUBHRAJIT PRADHAN,15-Jun-2023 01:27 AM,Rejected-Finance,L1,23-Aug-2023 07:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
