S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,"6,000",0.0,Nil,Nil,No,"Construction of Fixed Vision Centre at CHC level at Paharsrigida, Bargarh district for the year 2023-24.","BUILDING WORK (CIVIL, EI AND PH)",PLEASE REFER THE TENDER DOCUMENT ,NA ,"11,45,650",Civil Works - Buildings,NA ,Tender,90.0,60.0,PAHARSRIGIDA,768027.0,NA ,NA ,NA ,"O/O THE SE (R AND B) DIVISION, BARGARH",No ,No,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,IFB-SE PWD BGH-09 OF 2023-24,2023_EICCL_89925_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"11,456",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GSTIN, PAN, EPF, ESI, Affidavit and other documents as per DTCN","SE (R AND B) DIVISION, BARGARH","O/O THE SE (R AND B) DIVISION, BARGARH, At-GOVT BUS STAND, INFRONT OF WOMENS COLLEGE BARGARH",21-Jun-2023 11:00 AM,01-Jul-2023 11:30 AM,21-Jun-2023 11:00 AM,29-Jun-2023 05:00 PM,21-Jun-2023 11:00 AM ,29-Jun-2023 05:00 PM ,21-Jun-2023 11:00 AM,29-Jun-2023 05:00 PM,1.0,1ST CORRIGENDUM,Other,,AOC,ALOK KUMAR NAIK,Internal,1-VINIT KUMAR 2-BASANTA KUMAR DEHURY 3- UMESH CHANDRA BHOI,Alok Naik,24-Aug-2023 01:59 PM,finsummary_441588.pdf (568.53 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,2023_EICCL_89925_22,IFB-SE PWD BGH-09 OF 2023-24,"Construction of Fixed Vision Centre at CHC level at Paharsrigida, Bargarh district for the year 2023-24.",1.0,2169954.0,JAGABANDHU DASH,INR,"973,916.91",Finance,Total No. of 2 nos bidder participated and all are accepted for Technical and Financial Evaluation Process,Alok Naik,24-Aug-2023 01:13 PM,,BOQ Comparative Chart,1,2169954,JAGABANDHU DASH,27-Jun-2023 06:29 PM,Accepted-AOC,WORK AWARDED BY TRANSPARENT LOTTERY SYSTEM,24-Aug-2023 02:05 PM,24-Aug-2023,"INR 973,916.91",60.0,Alok Naik,24-Aug-2023 02:04 PM,AOCFVCPaharsrigida.pdf (569.00 KB),ALOK KUMAR NAIK,Internal,1-VINIT KUMAR 2-BASANTA KUMAR DEHURY 3- UMESH CHANDRA BHOI,Alok Naik,24-Aug-2023 01:17 PM,techsummary_441588.pdf (568.53 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2170103,PRATIMA PANDA,28-Jun-2023 08:02 AM,Rejected-AOC,TRANSPARENT LOTTERY SYSTEM,24-Aug-2023 02:05 PM,,,,,,,,,,,,,AOC
