Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||CUTTACK SADAR Block,2023_PRBCS_90677_4,BLKCUTTACK SADAR-05/2023-24,"Construction of Day care sub-centre cum Health and Wellness centre at Nayahat,Block-Cuttack Sadar, Dist-Cuttack",1.0,2186751.0,MADHUSUDAN BHOI,INR,"3,169,265.221",BDO CUTATCK SADAR,Internal,ALL COMMITTE MEMBERS.,Rajib Lochan Parida,31-Jul-2023 01:49 PM,techsummary_443953.pdf (258.18 KB),Finance,BID OPENED,Rajib Lochan Parida,31-Jul-2023 01:32 PM,finance_443953.pdf,BOQ Comparative Chart,BDO CUTTACK SADAR,Internal,,Rajib Lochan Parida,18-Aug-2023 12:55 PM,finsummary_443953.pdf (258.18 KB),18-Aug-2023,"INR 3,169,265.221",330.0,Rajib Lochan Parida,18-Aug-2023 12:57 PM,AOC.pdf (345.00 KB),1,2186751,MADHUSUDAN BHOI,26-Jul-2023 04:14 PM,Accepted-AOC,Madhusudan Bhoi Awarded the contract for Lowest quoted value,18-Aug-2023 01:00 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"33,000",No,fixed,,Nil,Nil,"6,000",Nil,Nil,No,BDO CUTTACK SADAR,BDO CUTTACK SADAR,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||CUTTACK SADAR Block,BLKCUTTACK SADAR-05/2023-24,2023_PRBCS_90677_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"Construction of Day care sub-centre cum Health and Wellness centre at Nayahat,Block-Cuttack Sadar, Dist-Cuttack","Construction of Day care sub-centre cum Health and Wellness centre at Nayahat,Block-Cuttack Sadar, Dist-Cuttack",Please refer Tender documents. ,NA ,"32,78,438",Civil Works - Others,NA ,Tender,90.0,330.0,"BDO CUTTACK SADAR ,NAYABAZAR,CUTTACK",753004.0,NA ,NA ,NA ,CUTTACK SADAR BLOCK,No ,No,14-Jul-2023 12:10 PM,27-Jul-2023 11:30 AM,14-Jul-2023 12:10 PM,26-Jul-2023 05:00 PM,14-Jul-2023 12:10 PM ,26-Jul-2023 03:00 PM ,14-Jul-2023 12:10 PM,26-Jul-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2186722,RASHMI RANJAN SAHOO,26-Jul-2023 04:20 PM,Rejected-AOC,Madhusudan Bhoi Awarded the contract for Lowest quoted value,18-Aug-2023 01:00 PM,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
