Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,000",0.0,Nil,Nil,No,Municipal Bodies||Barbil Municipality,BBLM-1/2023-24,2023_ORULB_87484_45,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Document as per Detail Tender Call Notice,"Construction of road from Mission Shakti house to Mahatab Allam house, Sriram Nagar area, ward No.4","Construction of road from Mission Shakti house to Mahatab Allam house, Sriram Nagar area, ward No.4",Please refer Tender documents. ,NA ,"4,94,000",Civil Works - Roads,NA ,Tender,45.0,45.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality Office,No ,No,1,ICICI BANK,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,18-Apr-2023 10:00 AM,03-May-2023 11:00 AM,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,NA ,NA ,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,16-May-2023 01:00 PM,"4,940",Yes,percentage,1.0%,Nil,Nil,AOC,1,2127970,ISWAR CHANDRA SAMAL,02-May-2023 11:21 AM,Rejected-Finance,Second,09-Aug-2023 05:10 PM,09-Aug-2023,"INR 479,894.85",45.0,Abhishek Panda,09-Aug-2023 05:11 PM,45.pdf (497.00 KB),Contact value excluding GST,Finance,Open,Abhishek Panda,19-May-2023 09:36 AM,finance_433924.pdf,BOQ Comparative Chart,Laxman mahanta,Internal,"JE,ME,Eo,Accountant",Abhishek Panda,16-May-2023 11:53 AM,16-May-2023 01:00 PM,techsummary_433924.pdf (11332.12 KB),Laxman mahanta,Internal,"JE,ME,EO",Abhishek Panda,09-Aug-2023 05:10 PM,finsummary_433924.pdf (1028.50 KB),Municipal Bodies||Barbil Municipality,2023_ORULB_87484_45,BBLM-1/2023-24,"Construction of road from Mission Shakti house to Mahatab Allam house, Sriram Nagar area, ward No.4",Technical,open,Abhishek Panda,04-May-2023 11:07 AM,technical_433924.pdf,1.0,2127931.0,JETHURAM PATRA,INR,"479,894.85",AOC
,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC,2,2127931,JETHURAM PATRA,02-May-2023 12:58 AM,Accepted-AOC,Lowest,09-Aug-2023 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
