S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2111291.0,KAILASH CHANDRA MOHANTY,INR,"3,723,583",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-RAYAGADA,2023_CERWI_87304_6,EERWRGD-Online-13/2022-23,Construction of RI Office cum residence at Bhimpur under Muniguda Tahasil for the year 2022 23,"Junior Engineer(Estr.),Sr.DAO,Executive Engineer",Internal,,Shyam Sundar Behera,10-Aug-2023 05:23 PM,techsummary_432563.pdf (41.17 KB),10-Aug-2023,"INR 3,723,583",180.0,Shyam Sundar Behera,10-Aug-2023 06:05 PM,workbhimpur.pdf (421.00 KB),Award of Contract,Finance,Tender documents verified,Shyam Sundar Behera,10-Aug-2023 05:18 PM,finance_432563.pdf,BOQ Comparative Chart,"Junior Engineer(Estr.),Sr.DAO,Executive Engineer",Internal,,Shyam Sundar Behera,10-Aug-2023 06:02 PM,finsummary_432563.pdf (358.00 KB),1,2110969,CHANDRA SEKHAR SAHUKAR,09-Apr-2023 06:17 PM,Rejected-AOC,6th lowest tenderer,10-Aug-2023 06:08 PM,AOC,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,LICENSE PAN CARD GSTIN AND AS PER DTCN,"43,800",Yes,fixed,,Nil,Nil,Construction of RI Office cum residence at Bhimpur under Muniguda Tahasil for the year 2022 23,Bulding Works,Please refer Tender documents. ,NA ,"43,80,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,Rayagada,765001.0,NA ,NA ,NA ,EE RWD RAYAGADA,No ,No,EE RWD RAYAGADA,EE RWD RAYAGADA,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-RAYAGADA,EERWRGD-Online-13/2022-23,2023_CERWI_87304_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,28-Mar-2023 09:00 AM,11-Apr-2023 11:00 AM,28-Mar-2023 09:00 AM,10-Apr-2023 05:00 PM,NA ,NA ,28-Mar-2023 09:00 AM,10-Apr-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2111544,JITENDRA NIMALPURI,10-Apr-2023 02:06 PM,Rejected-AOC,4th lowest tenderer,10-Aug-2023 06:08 PM,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2111291,KAILASH CHANDRA MOHANTY,10-Apr-2023 12:55 PM,Accepted-AOC,As per lottery winner,10-Aug-2023 06:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2110884,KHAGESWAR SAHU,10-Apr-2023 04:53 PM,Rejected-AOC,3rd lowest tenderer,10-Aug-2023 06:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2111477,Rabinder Singh,10-Apr-2023 01:59 PM,Rejected-AOC,2nd lowest tenderer,10-Aug-2023 06:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2111626,SANTOSH KUMAR MOHAPATRA,10-Apr-2023 03:06 PM,Rejected-AOC,5th lowest tenderer,10-Aug-2023 06:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2111771,TANGUDU KALYAN KUMAR,10-Apr-2023 04:39 PM,Rejected-AOC,1st lowest tenderer,10-Aug-2023 06:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
