Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
EXECUTIVE OFFICER,HINDOL NAC,"6,000",0.0,Nil,Nil,No,0.0,No,fixed,,Nil,Nil,23-May-2022 01:00 PM,03-Jun-2022 11:00 AM,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,NA ,NA ,23-May-2022 01:00 PM,01-Jun-2022 05:00 PM,1.0,ICICI BANK,Renovation of Tantichira Bridge in Ward No-14.,As per DTCN,Please refer Tender documents. ,NA ,"17,85,960",Civil Works - Others,NA ,Tender,120.0,60.0,HINDOL NAC,759022.0,NA ,NA ,NA ,HINDOL NAC,No ,No,Municipal Bodies||Hindol NAC,HDL NAC-01/2022-23,2022_ORULB_77859_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,AOC,23-Aug-2023,"INR 1,518,240",60.0,Maruvada Srinivas,23-Aug-2023 11:59 AM,39.pdf (102.00 KB),AOC,1,1857348,ANOJ KUMAR PATTANAIK,31-May-2022 09:43 AM,Rejected-Technical,Lottery,21-Aug-2023 05:23 PM,Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,21-Aug-2023 05:23 PM,techsummary_399581.pdf (156.15 KB),Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",Maruvada Srinivas,23-Aug-2023 11:37 AM,finsummary_399581.pdf (156.15 KB),Municipal Bodies||Hindol NAC,2022_ORULB_77859_39,HDL NAC-01/2022-23,Renovation of Tantichira Bridge in Ward No-14.,1.0,1859420.0,MANOJA KUMAR BISWAL,INR,"1,518,240",Finance,lottery,Maruvada Srinivas,19-Aug-2023 06:31 PM,finance_399581.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,AOC,,,,,,,,2,1859320,ASHOK KUMAR NAYAK,01-Jun-2022 11:24 AM,Rejected-Technical,Lottery,21-Aug-2023 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,3,1855881,BABHRU PRASAD PATI,30-May-2022 02:59 PM,Rejected-Technical,Lottery,21-Aug-2023 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,1856255,BIRANCHI MOHAPATRA,30-May-2022 03:32 PM,Rejected-Technical,Lottery,21-Aug-2023 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,1859000,Gyanaranjan Amanta,01-Jun-2022 06:49 AM,Rejected-Technical,Lottery,21-Aug-2023 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,1859420,MANOJA KUMAR BISWAL,01-Jun-2022 04:13 PM,Accepted-AOC,L1,23-Aug-2023 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,1859174,Pradeep Kumar Behera,01-Jun-2022 05:07 AM,Rejected-Technical,Lottery,21-Aug-2023 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,1857130,PRADIP KUMAR DAS,31-May-2022 01:36 AM,Rejected-Technical,Lottery,21-Aug-2023 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,1857164,PRAMIL BEHERA,31-May-2022 04:15 AM,Rejected-Technical,Lottery,21-Aug-2023 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,1859524,PRAVAT KUMAR PATTANAIK,01-Jun-2022 01:46 PM,Rejected-Technical,Lottery,21-Aug-2023 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
